cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
67092P87,24.31,24.3,2019-01-02,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3805,24.34,2019-01-03,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.36,24.38,2019-01-04,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3299,24.37,2019-01-07,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3096,24.31,2019-01-08,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.27,24.25,2019-01-09,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.26,24.2701,2019-01-10,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.28,24.2948,2019-01-11,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.285,24.28,2019-01-14,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3,24.302,2019-01-15,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.29,24.3,2019-01-16,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.28,24.285,2019-01-17,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.27,24.2999,2019-01-18,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.29,24.285,2019-01-22,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3,24.2801,2019-01-23,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.33,24.35,2019-01-24,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.33,24.35,2019-01-25,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.32,24.34,2019-01-28,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.34,24.35,2019-01-29,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.39,24.37,2019-01-30,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.48,24.466,2019-01-31,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.419,24.42,2019-02-01,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.36,24.38,2019-02-04,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.39,24.38,2019-02-05,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3797,24.37,2019-02-06,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.41,24.38,2019-02-07,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.46,24.47,2019-02-08,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.46,24.46,2019-02-11,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4387,24.4265,2019-02-12,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4,24.42,2019-02-13,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.425,24.43,2019-02-14,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.44,24.431,2019-02-15,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.46,24.5,2019-02-19,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4737,24.5,2019-02-20,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.435,24.44,2019-02-21,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.46,24.47,2019-02-22,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.46,24.44,2019-02-25,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.48,24.47,2019-02-26,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4639,24.45,2019-02-27,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.42,24.4049,2019-02-28,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.345,24.3417,2019-03-01,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.355,24.35,2019-03-04,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.378,24.3401,2019-03-05,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.3761,24.3501,2019-03-06,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4311,24.44,2019-03-07,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.47,24.45,2019-03-08,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.475,24.5,2019-03-11,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.505,24.4897,2019-03-12,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.4951,24.4701,2019-03-13,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.48,24.499,2019-03-14,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.52,24.55,2019-03-15,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.55,24.53,2019-03-18,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.54,24.53,2019-03-19,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.6,24.56,2019-03-20,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.635,24.62,2019-03-21,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.7255,24.72,2019-03-22,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.79,24.7607,2019-03-25,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.8131,24.7998,2019-03-26,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.8479,24.86,2019-03-27,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.84,24.8201,2019-03-28,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.84,24.84,2019-03-29,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.71,24.76,2019-04-01,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.68,24.71,2019-04-02,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.665,24.6799,2019-04-03,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.665,24.64,2019-04-04,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.69,24.68,2019-04-05,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.69,24.69,2019-04-08,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.66,24.705,2019-04-09,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.74,24.74,2019-04-10,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.73,24.75,2019-04-11,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.69,24.71,2019-04-12,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.69,24.69,2019-04-15,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.6574,24.68,2019-04-16,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.635,24.64,2019-04-17,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.665,24.675,2019-04-18,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.6592,24.64,2019-04-22,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.655,24.67,2019-04-23,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.71,24.72,2019-04-24,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.72,24.7197,2019-04-25,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.755,24.78,2019-04-26,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.755,24.76,2019-04-29,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.75,24.75,2019-04-30,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.71,24.7309,2019-05-01,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.6763,24.71,2019-05-02,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.685,24.6817,2019-05-03,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.73,24.73,2019-05-06,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.785,24.78,2019-05-07,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.75,24.81,2019-05-08,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.76,24.79,2019-05-09,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.77,24.79,2019-05-10,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.83,24.82,2019-05-13,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.82,24.8,2019-05-14,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.872,24.86,2019-05-15,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.855,24.8429,2019-05-16,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.85,24.87,2019-05-17,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.84,24.86,2019-05-20,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.81,24.84,2019-05-21,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.84,24.8341,2019-05-22,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.91,24.89,2019-05-23,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.96,24.94,2019-05-24,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.97,24.98,2019-05-28,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,24.99,25.02,2019-05-29,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.035,24.97,2019-05-30,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.135,25.11,2019-05-31,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.1595,25.14,2019-06-03,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.16,25.149,2019-06-04,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.125,25.16,2019-06-05,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.125,25.11,2019-06-06,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.185,25.18,2019-06-07,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.155,25.14,2019-06-10,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.125,25.14,2019-06-11,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.142,25.15,2019-06-12,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.17,25.1772,2019-06-13,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.2,25.19,2019-06-14,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.2,25.18,2019-06-17,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.23,25.27,2019-06-18,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.316,25.21,2019-06-19,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.355,25.38,2019-06-20,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.32,25.3275,2019-06-21,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.345,25.3446,2019-06-24,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.3534,25.39,2019-06-25,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.344,25.34,2019-06-26,NUBD,NUSHARES E T F TRUST,6726.0,76.0
67092P87,25.3547,25.35,2019-06-27,NUBD,NUSHARES E T F TRUST,6726.0,76.0
