cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
68752M10,51.62,51.99,2019-01-02,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,49.57,51.51,2019-01-03,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.22,49.9,2019-01-04,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,49.19,50.21,2019-01-07,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.51,49.21,2019-01-08,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.31,50.66,2019-01-09,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,51.18,50.01,2019-01-10,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.75,50.92,2019-01-11,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,49.02,50.62,2019-01-14,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.4,49.03,2019-01-15,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,50.93,50.41,2019-01-16,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,51.19,50.67,2019-01-17,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,51.93,51.21,2019-01-18,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,51.46,51.83,2019-01-22,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,52.46,51.39,2019-01-23,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,52.67,52.47,2019-01-24,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,53.09,53.06,2019-01-25,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,52.0,52.86,2019-01-28,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,51.83,51.99,2019-01-29,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,52.91,52.17,2019-01-30,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,54.11,52.83,2019-01-31,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,53.97,54.12,2019-02-01,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,55.63,54.2,2019-02-04,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,56.14,55.77,2019-02-05,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,57.74,56.15,2019-02-06,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,59.94,57.56,2019-02-07,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,60.42,59.86,2019-02-08,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,60.87,60.81,2019-02-11,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,62.71,61.22,2019-02-12,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,62.58,62.88,2019-02-13,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
68752M10,63.7,62.31,2019-02-14,OFIX,ORTHOFIX MEDICAL INC,3849.0,207.0
