cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G6891L10,2.8108,2.87,2019-01-02,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.08,2.82,2019-01-03,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.99,3.08,2019-01-04,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.95,2.93,2019-01-07,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.9,2.91,2019-01-08,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.91,2.91,2019-01-09,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.1,2.99,2019-01-10,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.01,3.11,2019-01-11,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.06,3.02,2019-01-14,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.9246,2.9246,2019-01-15,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.0,2.97,2019-01-16,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.91,3.08,2019-01-17,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.1,2.95,2019-01-18,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.03,3.05,2019-01-22,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.03,3.02,2019-01-23,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.97,2.95,2019-01-24,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.02,3.01,2019-01-25,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.09,3.0062,2019-01-28,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.95,3.0899,2019-01-29,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.1,2.965,2019-01-30,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.05,3.0,2019-01-31,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.0,3.004,2019-02-01,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.05,3.03,2019-02-04,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.91,3.01,2019-02-05,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,2.99,2.93,2019-02-06,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.03,3.03,2019-02-07,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.1,2.9752,2019-02-08,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.13,3.09,2019-02-11,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.15,3.21,2019-02-12,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.33,3.15,2019-02-13,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.33,3.237,2019-02-14,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.29,3.38,2019-02-15,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.44,3.29,2019-02-19,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.37,3.313,2019-02-20,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.5,3.4,2019-02-21,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.57,3.3768,2019-02-22,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.63,3.57,2019-02-25,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.47,3.5979,2019-02-26,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.55,3.67,2019-02-27,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.62,3.55,2019-02-28,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.48,3.62,2019-03-01,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.4,3.4046,2019-03-04,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.39,3.39,2019-03-05,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.33,3.4,2019-03-06,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.39,3.33,2019-03-07,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.4,3.38,2019-03-08,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.4,3.38,2019-03-11,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.3,3.4,2019-03-12,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.39,3.3649,2019-03-13,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.54,3.8,2019-03-14,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.51,3.55,2019-03-15,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.5,3.5,2019-03-18,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.37,3.48,2019-03-19,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.42,3.42,2019-03-20,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.26,3.37,2019-03-21,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
G6891L10,3.2156,3.232,2019-03-22,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,9999.0,80.0
