cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
69318G10,33.57,32.19,2019-01-02,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,32.5,33.48,2019-01-03,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,33.91,33.18,2019-01-04,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.2,33.89,2019-01-07,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,33.49,34.46,2019-01-08,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.35,34.39,2019-01-09,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.21,34.35,2019-01-10,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.51,34.1,2019-01-11,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.07,34.35,2019-01-14,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.76,35.25,2019-01-15,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.3,34.56,2019-01-16,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.09,35.02,2019-01-17,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.35,36.48,2019-01-18,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.01,36.07,2019-01-22,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.32,36.1,2019-01-23,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.52,35.11,2019-01-24,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.04,34.03,2019-01-25,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.1,34.61,2019-01-28,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.28,34.18,2019-01-29,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.46,34.62,2019-01-30,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.62,36.07,2019-01-31,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.51,36.69,2019-02-01,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.51,35.55,2019-02-04,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.04,35.52,2019-02-05,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.22,35.9,2019-02-06,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.93,36.28,2019-02-07,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.48,34.59,2019-02-08,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.3,34.49,2019-02-11,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.18,35.67,2019-02-12,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,36.1,35.39,2019-02-13,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.98,36.16,2019-02-14,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.06,35.01,2019-02-15,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.22,34.94,2019-02-19,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,35.77,35.05,2019-02-20,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,33.88,35.73,2019-02-21,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,34.13,34.19,2019-02-22,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,33.39,34.21,2019-02-25,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,33.11,33.52,2019-02-26,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,31.93,32.76,2019-02-27,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,31.07,31.96,2019-02-28,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,31.26,31.25,2019-03-01,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,31.14,31.26,2019-03-04,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,30.51,31.16,2019-03-05,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,30.51,30.51,2019-03-06,PBF,P B F ENERGY INC,2911.0,134.0
69318G10,30.24,30.59,2019-03-07,PBF,P B F ENERGY INC,2911.0,134.0
