cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46090A70,26.1624,25.95,2019-01-02,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.0032,25.9954,2019-01-03,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.1631,26.1631,2019-01-04,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.1251,26.1251,2019-01-07,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.2703,26.2554,2019-01-08,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.2405,26.21,2019-01-09,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.314,26.26,2019-01-10,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.1749,26.15,2019-01-11,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.075,26.0839,2019-01-14,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.1556,26.09,2019-01-15,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.2877,26.15,2019-01-16,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.3891,26.27,2019-01-17,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.5895,26.51,2019-01-18,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.4439,26.52,2019-01-22,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.5082,26.5082,2019-01-23,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.455,26.4686,2019-01-24,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.5582,26.5954,2019-01-25,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.4861,26.5,2019-01-28,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.4443,26.5,2019-01-29,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.6873,26.585,2019-01-30,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.8917,26.7,2019-01-31,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.94,26.91,2019-02-01,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.04,26.865,2019-02-04,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.22,27.1731,2019-02-05,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.1052,27.1399,2019-02-06,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.98,26.95,2019-02-07,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.8782,26.83,2019-02-08,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.02,26.89,2019-02-11,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.2872,26.96,2019-02-12,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.11,27.57,2019-02-13,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3359,27.09,2019-02-14,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.5,27.4701,2019-02-15,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6329,27.63,2019-02-19,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6369,27.65,2019-02-20,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.5232,27.63,2019-02-21,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6932,27.7128,2019-02-22,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.82,27.93,2019-02-25,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7841,27.75,2019-02-26,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7507,27.6273,2019-02-27,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.69,27.6934,2019-02-28,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8286,27.7561,2019-03-01,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7185,27.87,2019-03-04,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7456,27.7392,2019-03-05,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.44,27.66,2019-03-06,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3686,27.36,2019-03-07,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3245,27.22,2019-03-08,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6495,27.615,2019-03-11,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7161,27.7106,2019-03-12,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.919,27.85,2019-03-13,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8917,27.9,2019-03-14,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.86,27.99,2019-03-15,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7901,27.95,2019-03-18,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.06,27.66,2019-03-19,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.9809,27.97,2019-03-20,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.259,28.0718,2019-03-21,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8184,28.14,2019-03-22,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7528,27.65,2019-03-25,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.82,27.76,2019-03-26,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7164,27.795,2019-03-27,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7514,27.69,2019-03-28,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.88,27.7785,2019-03-29,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.0675,28.016,2019-04-01,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.08,27.86,2019-04-02,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.11,28.11,2019-04-03,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1253,27.98,2019-04-04,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1717,28.1234,2019-04-05,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.235,28.09,2019-04-08,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1605,28.19,2019-04-09,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1511,28.175,2019-04-10,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1105,28.105,2019-04-11,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1452,28.15,2019-04-12,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.104,28.06,2019-04-15,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1041,28.2,2019-04-16,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.0691,28.08,2019-04-17,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.0857,28.1,2019-04-18,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.1195,28.09,2019-04-22,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.3545,28.18,2019-04-23,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.36,28.35,2019-04-24,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.3344,28.31,2019-04-25,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.44,28.29,2019-04-26,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.4626,28.48,2019-04-29,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.4785,28.47,2019-04-30,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.3623,28.4601,2019-05-01,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.2685,28.17,2019-05-02,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.4872,28.4,2019-05-03,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.3839,28.02,2019-05-06,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.07,28.13,2019-05-07,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.007,28.075,2019-05-08,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.77,27.7345,2019-05-09,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.03,27.66,2019-05-10,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.35,27.45,2019-05-13,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6223,27.5,2019-05-14,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.56,27.51,2019-05-15,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.6096,27.64,2019-05-16,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.5646,27.595,2019-05-17,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.4494,27.61,2019-05-20,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.4502,27.5,2019-05-21,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.4,27.4,2019-05-22,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3475,27.29,2019-05-23,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3213,27.39,2019-05-24,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.29,27.3,2019-05-28,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.1339,27.11,2019-05-29,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.1194,27.085,2019-05-30,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.9142,26.891,2019-05-31,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,26.8592,27.03,2019-06-03,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.2183,27.0,2019-06-04,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.3733,27.33,2019-06-05,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.485,27.41,2019-06-06,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7693,27.802,2019-06-07,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8648,27.895,2019-06-10,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8916,27.85,2019-06-11,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.7833,27.853,2019-06-12,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8661,27.7963,2019-06-13,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8422,27.8424,2019-06-14,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,27.8086,27.8707,2019-06-17,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.0253,27.4,2019-06-18,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.07,28.0198,2019-06-19,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.2895,28.175,2019-06-20,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
46090A70,28.3309,28.37,2019-06-21,PHDG,INVESCO ACTIVELY MANAGED ETF TR,6726.0,136.0
