cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
72201410,8.0,7.96,2019-01-02,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.12,8.02,2019-01-03,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.22,8.16,2019-01-04,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.34,8.26,2019-01-07,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.36,8.4,2019-01-08,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.4,8.45,2019-01-09,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.38,8.32,2019-01-10,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.29,8.25,2019-01-11,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.27,8.26,2019-01-14,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.26,8.26,2019-01-15,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.29,8.26,2019-01-16,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.37,8.31,2019-01-17,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.34,8.41,2019-01-18,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.37,8.34,2019-01-22,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.42,8.39,2019-01-23,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.46,8.44,2019-01-24,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.48,8.5,2019-01-25,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.49,8.45,2019-01-28,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.47,8.5,2019-01-29,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.53,8.48,2019-01-30,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.56,8.54,2019-01-31,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.49,8.57,2019-02-01,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.63,8.61,2019-02-04,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.65,8.65,2019-02-05,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.73,8.66,2019-02-06,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.69,8.73,2019-02-07,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.62,8.6,2019-02-08,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.58,8.66,2019-02-11,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.63,8.58,2019-02-12,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.69,8.67,2019-02-13,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.71,8.68,2019-02-14,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.77,8.73,2019-02-15,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.78,8.77,2019-02-19,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
72201410,8.8,8.77,2019-02-20,PHK,PIMCO HIGH INCOME FD,6722.0,254.0
