cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45782C81,24.09,24.02,2019-01-02,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,23.752,23.815,2019-01-03,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.1672,25.64,2019-01-04,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.2327,24.26,2019-01-07,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.3208,24.3,2019-01-08,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.355,24.38,2019-01-09,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.43,24.3976,2019-01-10,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.44,24.59,2019-01-11,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.32,24.3899,2019-01-14,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.4699,24.46,2019-01-15,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.4909,24.529,2019-01-16,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.5806,24.57,2019-01-17,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.72,24.66,2019-01-18,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.4703,24.55,2019-01-22,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.5351,24.58,2019-01-23,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.5266,24.53,2019-01-24,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,-24.635,,2019-01-25,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.5702,24.579,2019-01-28,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.5647,24.6,2019-01-29,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.7155,24.77,2019-01-30,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.8504,24.8,2019-01-31,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.8301,24.85,2019-02-01,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.9004,24.9004,2019-02-04,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.9212,24.97,2019-02-05,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.9257,24.92,2019-02-06,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.8119,24.9291,2019-02-07,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.9,24.7885,2019-02-08,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,24.8804,25.1,2019-02-11,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
45782C81,25.0164,25.04,2019-02-12,PJUL,INNOVATOR E T F S TRUST,6726.0,65.0
