cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
72942G10,0.8872,0.78,2019-01-02,PLUR,PLURI INC,7372.0,148.0
72942G10,0.9521,0.939,2019-01-03,PLUR,PLURI INC,7372.0,148.0
72942G10,1.04,1.0,2019-01-04,PLUR,PLURI INC,7372.0,148.0
72942G10,1.08,1.02,2019-01-07,PLUR,PLURI INC,7372.0,148.0
72942G10,1.06,1.09,2019-01-08,PLUR,PLURI INC,7372.0,148.0
72942G10,1.12,1.11,2019-01-09,PLUR,PLURI INC,7372.0,148.0
72942G10,1.07,1.1,2019-01-10,PLUR,PLURI INC,7372.0,148.0
72942G10,1.07,1.09,2019-01-11,PLUR,PLURI INC,7372.0,148.0
72942G10,1.12,1.09,2019-01-14,PLUR,PLURI INC,7372.0,148.0
72942G10,1.08,1.1,2019-01-15,PLUR,PLURI INC,7372.0,148.0
72942G10,1.11,1.09,2019-01-16,PLUR,PLURI INC,7372.0,148.0
72942G10,1.12,1.12,2019-01-17,PLUR,PLURI INC,7372.0,148.0
72942G10,1.12,1.12,2019-01-18,PLUR,PLURI INC,7372.0,148.0
72942G10,1.11,1.12,2019-01-22,PLUR,PLURI INC,7372.0,148.0
72942G10,1.12,1.11,2019-01-23,PLUR,PLURI INC,7372.0,148.0
72942G10,1.15,1.11,2019-01-24,PLUR,PLURI INC,7372.0,148.0
72942G10,1.14,1.15,2019-01-25,PLUR,PLURI INC,7372.0,148.0
72942G10,1.13,1.14,2019-01-28,PLUR,PLURI INC,7372.0,148.0
72942G10,1.13,1.12,2019-01-29,PLUR,PLURI INC,7372.0,148.0
72942G10,1.13,1.1,2019-01-30,PLUR,PLURI INC,7372.0,148.0
72942G10,1.15,1.14,2019-01-31,PLUR,PLURI INC,7372.0,148.0
72942G10,1.15,1.156,2019-02-01,PLUR,PLURI INC,7372.0,148.0
72942G10,1.13,1.13,2019-02-04,PLUR,PLURI INC,7372.0,148.0
72942G10,1.13,1.12,2019-02-05,PLUR,PLURI INC,7372.0,148.0
72942G10,1.05,1.1,2019-02-06,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,0.969,2019-02-07,PLUR,PLURI INC,7372.0,148.0
72942G10,1.0,1.0,2019-02-08,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,1.0,2019-02-11,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,1.05,2019-02-12,PLUR,PLURI INC,7372.0,148.0
72942G10,1.02,1.02,2019-02-13,PLUR,PLURI INC,7372.0,148.0
72942G10,1.005,1.0,2019-02-14,PLUR,PLURI INC,7372.0,148.0
72942G10,1.02,1.02,2019-02-15,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,1.01,2019-02-19,PLUR,PLURI INC,7372.0,148.0
72942G10,1.02,1.03,2019-02-20,PLUR,PLURI INC,7372.0,148.0
72942G10,1.02,1.01,2019-02-21,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,1.0,2019-02-22,PLUR,PLURI INC,7372.0,148.0
72942G10,1.03,1.04,2019-02-25,PLUR,PLURI INC,7372.0,148.0
72942G10,1.02,1.02,2019-02-26,PLUR,PLURI INC,7372.0,148.0
72942G10,1.01,1.02,2019-02-27,PLUR,PLURI INC,7372.0,148.0
72942G10,0.956,1.0,2019-02-28,PLUR,PLURI INC,7372.0,148.0
72942G10,0.991,0.939,2019-03-01,PLUR,PLURI INC,7372.0,148.0
72942G10,0.9594,0.97,2019-03-04,PLUR,PLURI INC,7372.0,148.0
72942G10,0.9765,0.96,2019-03-05,PLUR,PLURI INC,7372.0,148.0
