cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
73933H10,5.34,5.9,2019-01-02,PW,POWER REIT,6798.0,451.0
73933H10,5.388,5.409,2019-01-03,PW,POWER REIT,6798.0,451.0
73933H10,5.4974,5.55,2019-01-04,PW,POWER REIT,6798.0,451.0
73933H10,5.7633,5.7633,2019-01-07,PW,POWER REIT,6798.0,451.0
73933H10,5.38,5.33,2019-01-08,PW,POWER REIT,6798.0,451.0
73933H10,5.42,5.45,2019-01-09,PW,POWER REIT,6798.0,451.0
73933H10,5.36,5.59,2019-01-10,PW,POWER REIT,6798.0,451.0
73933H10,5.37,5.37,2019-01-11,PW,POWER REIT,6798.0,451.0
73933H10,5.38,5.38,2019-01-14,PW,POWER REIT,6798.0,451.0
73933H10,5.15,5.343,2019-01-15,PW,POWER REIT,6798.0,451.0
73933H10,5.15,5.119,2019-01-16,PW,POWER REIT,6798.0,451.0
73933H10,5.35,5.46,2019-01-17,PW,POWER REIT,6798.0,451.0
73933H10,5.21,5.23,2019-01-18,PW,POWER REIT,6798.0,451.0
73933H10,5.29,5.2866,2019-01-22,PW,POWER REIT,6798.0,451.0
73933H10,5.23,5.29,2019-01-23,PW,POWER REIT,6798.0,451.0
73933H10,5.16,5.16,2019-01-24,PW,POWER REIT,6798.0,451.0
73933H10,-5.32,,2019-01-25,PW,POWER REIT,6798.0,451.0
73933H10,5.2108,5.1858,2019-01-28,PW,POWER REIT,6798.0,451.0
73933H10,5.2257,5.2257,2019-01-29,PW,POWER REIT,6798.0,451.0
73933H10,5.488,5.48,2019-01-30,PW,POWER REIT,6798.0,451.0
73933H10,-5.36,,2019-01-31,PW,POWER REIT,6798.0,451.0
73933H10,5.35,5.35,2019-02-01,PW,POWER REIT,6798.0,451.0
73933H10,5.47,5.49,2019-02-04,PW,POWER REIT,6798.0,451.0
73933H10,5.4363,5.42,2019-02-05,PW,POWER REIT,6798.0,451.0
73933H10,5.57,5.42,2019-02-06,PW,POWER REIT,6798.0,451.0
73933H10,5.8511,5.9092,2019-02-07,PW,POWER REIT,6798.0,451.0
73933H10,5.888,5.72,2019-02-08,PW,POWER REIT,6798.0,451.0
73933H10,5.9,5.9,2019-02-11,PW,POWER REIT,6798.0,451.0
73933H10,5.909,5.8622,2019-02-12,PW,POWER REIT,6798.0,451.0
73933H10,5.99,6.009,2019-02-13,PW,POWER REIT,6798.0,451.0
73933H10,5.91,5.91,2019-02-14,PW,POWER REIT,6798.0,451.0
73933H10,5.7217,5.8885,2019-02-15,PW,POWER REIT,6798.0,451.0
73933H10,5.87,5.67,2019-02-19,PW,POWER REIT,6798.0,451.0
73933H10,5.67,5.67,2019-02-20,PW,POWER REIT,6798.0,451.0
73933H10,-5.705,,2019-02-21,PW,POWER REIT,6798.0,451.0
73933H10,-5.805,,2019-02-22,PW,POWER REIT,6798.0,451.0
73933H10,5.7,5.75,2019-02-25,PW,POWER REIT,6798.0,451.0
73933H10,6.0422,6.14,2019-02-26,PW,POWER REIT,6798.0,451.0
73933H10,6.0,5.95,2019-02-27,PW,POWER REIT,6798.0,451.0
73933H10,6.1,5.8384,2019-02-28,PW,POWER REIT,6798.0,451.0
73933H10,5.99,5.86,2019-03-01,PW,POWER REIT,6798.0,451.0
73933H10,6.069,5.89,2019-03-04,PW,POWER REIT,6798.0,451.0
73933H10,5.9,5.91,2019-03-05,PW,POWER REIT,6798.0,451.0
73933H10,6.19,5.95,2019-03-06,PW,POWER REIT,6798.0,451.0
73933H10,6.1011,6.25,2019-03-07,PW,POWER REIT,6798.0,451.0
73933H10,6.0227,6.07,2019-03-08,PW,POWER REIT,6798.0,451.0
73933H10,6.09,5.93,2019-03-11,PW,POWER REIT,6798.0,451.0
73933H10,6.1327,6.01,2019-03-12,PW,POWER REIT,6798.0,451.0
73933H10,6.233,6.233,2019-03-13,PW,POWER REIT,6798.0,451.0
73933H10,6.17,6.4,2019-03-14,PW,POWER REIT,6798.0,451.0
73933H10,5.96,5.9872,2019-03-15,PW,POWER REIT,6798.0,451.0
73933H10,6.36,6.36,2019-03-18,PW,POWER REIT,6798.0,451.0
73933H10,6.0514,5.9496,2019-03-19,PW,POWER REIT,6798.0,451.0
73933H10,6.0,6.045,2019-03-20,PW,POWER REIT,6798.0,451.0
73933H10,5.99,5.85,2019-03-21,PW,POWER REIT,6798.0,451.0
73933H10,6.0205,5.99,2019-03-22,PW,POWER REIT,6798.0,451.0
73933H10,6.04,5.92,2019-03-25,PW,POWER REIT,6798.0,451.0
73933H10,6.01,5.95,2019-03-26,PW,POWER REIT,6798.0,451.0
73933H10,6.01,6.01,2019-03-27,PW,POWER REIT,6798.0,451.0
73933H10,5.91,6.01,2019-03-28,PW,POWER REIT,6798.0,451.0
73933H10,6.01,6.01,2019-03-29,PW,POWER REIT,6798.0,451.0
73933H10,5.81,5.81,2019-04-01,PW,POWER REIT,6798.0,451.0
73933H10,6.029,5.867,2019-04-02,PW,POWER REIT,6798.0,451.0
73933H10,5.9327,5.95,2019-04-03,PW,POWER REIT,6798.0,451.0
73933H10,5.9127,5.91,2019-04-04,PW,POWER REIT,6798.0,451.0
73933H10,5.82,5.92,2019-04-05,PW,POWER REIT,6798.0,451.0
73933H10,6.08,5.917,2019-04-08,PW,POWER REIT,6798.0,451.0
