cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
72581M30,3.24,2.83,2019-01-02,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.11,3.22,2019-01-03,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.34,3.15,2019-01-04,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.38,3.34,2019-01-07,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.38,3.4,2019-01-08,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.31,3.4,2019-01-09,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.21,3.3,2019-01-10,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.38,3.19,2019-01-11,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.33,3.33,2019-01-14,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.27,3.34,2019-01-15,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.21,3.28,2019-01-16,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.24,3.21,2019-01-17,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.2,3.27,2019-01-18,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.12,3.18,2019-01-22,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.05,3.14,2019-01-23,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.26,3.05,2019-01-24,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.25,3.3,2019-01-25,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.29,3.18,2019-01-28,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.2,3.277,2019-01-29,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.3,3.25,2019-01-30,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.78,3.3,2019-01-31,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,3.94,3.8,2019-02-01,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,4.07,3.95,2019-02-04,PXLW,PIXELWORKS INC,3674.0,220.0
72581M30,4.16,4.1,2019-02-05,PXLW,PIXELWORKS INC,3674.0,220.0
