cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
26922A42,20.1051,19.86,2019-01-02,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,19.3644,19.91,2019-01-03,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.1165,19.86,2019-01-04,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.3731,20.2,2019-01-07,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.387,20.4642,2019-01-08,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.684,20.58,2019-01-09,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.9029,20.64,2019-01-10,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.8385,20.76,2019-01-11,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.5907,20.67,2019-01-14,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.7885,20.78,2019-01-15,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.822,20.84,2019-01-16,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.9667,20.76,2019-01-17,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,21.3689,21.17,2019-01-18,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.8726,21.05,2019-01-22,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,20.967,21.03,2019-01-23,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,21.6261,21.53,2019-01-24,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.1827,21.85,2019-01-25,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,21.9777,21.89,2019-01-28,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,21.8053,21.94,2019-01-29,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.3714,22.01,2019-01-30,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.4683,22.41,2019-01-31,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.5798,22.53,2019-02-01,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.7224,22.6301,2019-02-04,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.8355,22.86,2019-02-05,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.9394,22.8109,2019-02-06,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.5998,22.5612,2019-02-07,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.55,22.41,2019-02-08,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,22.5682,22.55,2019-02-11,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.0106,23.0,2019-02-12,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.1694,23.1694,2019-02-13,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.2385,23.2043,2019-02-14,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.4263,23.4147,2019-02-15,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.5328,23.43,2019-02-19,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.6695,23.76,2019-02-20,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.6594,23.74,2019-02-21,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.9433,23.79,2019-02-22,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.1287,24.18,2019-02-25,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.1,24.11,2019-02-26,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.9701,24.08,2019-02-27,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8396,23.92,2019-02-28,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.9917,23.9648,2019-03-01,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.896,24.16,2019-03-04,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8269,23.86,2019-03-05,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.5324,23.57,2019-03-06,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.1802,23.4,2019-03-07,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.2043,23.05,2019-03-08,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.6664,23.34,2019-03-11,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.7292,23.86,2019-03-12,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8024,23.79,2019-03-13,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.536,23.7,2019-03-14,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8639,23.7,2019-03-15,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8488,23.89,2019-03-18,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.958,24.01,2019-03-19,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.88,23.842,2019-03-20,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.3534,24.21,2019-03-21,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.6843,24.0,2019-03-22,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.5631,23.44,2019-03-25,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.6372,23.8001,2019-03-26,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.4335,23.71,2019-03-27,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.5117,23.498,2019-03-28,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,23.8447,23.74,2019-03-29,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.2632,24.12,2019-04-01,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.3132,24.25,2019-04-02,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.663,24.7599,2019-04-03,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.5592,24.65,2019-04-04,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.696,24.65,2019-04-05,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.7101,24.65,2019-04-08,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.4992,24.62,2019-04-09,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.6742,24.6,2019-04-10,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.6826,24.758,2019-04-11,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.9019,24.86,2019-04-12,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,24.8531,25.0,2019-04-15,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.0928,25.0674,2019-04-16,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.1319,25.0965,2019-04-17,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.0737,25.0,2019-04-18,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.0799,25.02,2019-04-22,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.2752,25.15,2019-04-23,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.3202,25.28,2019-04-24,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.075,25.25,2019-04-25,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.1237,24.8622,2019-04-26,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.1769,25.2268,2019-04-29,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.1294,25.06,2019-04-30,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.0859,25.27,2019-05-01,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.1971,25.1971,2019-05-02,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
26922A42,25.5984,25.489,2019-05-03,QTUM,E T F SERIES SOLUTIONS,6726.0,66.0
