cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
80688210,21.87,21.14,2019-01-02,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.29,21.7,2019-01-03,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.48,21.74,2019-01-04,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.74,22.6,2019-01-07,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.11,22.97,2019-01-08,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.55,25.9,2019-01-09,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.88,23.32,2019-01-10,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.96,22.71,2019-01-11,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.8,21.75,2019-01-14,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.96,21.83,2019-01-15,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.4,21.95,2019-01-16,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.74,22.4,2019-01-17,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.03,23.79,2019-01-18,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.54,23.72,2019-01-22,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.09,23.55,2019-01-23,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.64,23.1,2019-01-24,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.79,23.27,2019-01-25,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.84,23.15,2019-01-28,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.06,23.06,2019-01-29,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.97,23.5,2019-01-30,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.2,23.96,2019-01-31,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.24,24.3,2019-02-01,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.34,24.29,2019-02-04,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.1,24.31,2019-02-05,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.22,23.95,2019-02-06,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.96,24.17,2019-02-07,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.0,23.82,2019-02-08,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.81,23.94,2019-02-11,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.13,24.03,2019-02-12,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.3,24.32,2019-02-13,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.58,24.22,2019-02-14,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.04,23.85,2019-02-15,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.07,24.03,2019-02-19,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.8,24.02,2019-02-20,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.33,24.75,2019-02-21,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.61,24.51,2019-02-22,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.04,24.65,2019-02-25,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.59,24.9,2019-02-26,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.53,24.59,2019-02-27,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.3,24.49,2019-02-28,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.61,24.35,2019-03-01,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.56,24.57,2019-03-04,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.32,24.51,2019-03-05,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.68,24.37,2019-03-06,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.01,23.68,2019-03-07,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.71,22.74,2019-03-08,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.17,22.84,2019-03-11,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.5,23.19,2019-03-12,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.76,23.65,2019-03-13,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.81,23.61,2019-03-14,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.62,23.82,2019-03-15,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.89,23.7,2019-03-18,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.12,24.05,2019-03-19,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.21,24.08,2019-03-20,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.05,24.18,2019-03-21,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.7,24.92,2019-03-22,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.49,23.8,2019-03-25,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.49,23.55,2019-03-26,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.93,23.5,2019-03-27,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.94,23.92,2019-03-28,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.0,24.15,2019-03-29,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.91,24.29,2019-04-01,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.57,25.03,2019-04-02,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.88,24.78,2019-04-03,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.68,24.6,2019-04-04,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,26.62,25.78,2019-04-05,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,26.72,26.48,2019-04-08,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,26.03,26.62,2019-04-09,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.95,26.18,2019-04-10,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.2,25.85,2019-04-11,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.86,25.45,2019-04-12,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.86,24.9,2019-04-15,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.3,24.98,2019-04-16,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.54,25.49,2019-04-17,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.44,25.47,2019-04-18,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.77,25.38,2019-04-22,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.22,24.74,2019-04-23,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,25.32,25.2,2019-04-24,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.72,25.3,2019-04-25,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.8,23.72,2019-04-26,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.32,23.9,2019-04-29,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.72,24.16,2019-04-30,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.32,23.78,2019-05-01,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.39,23.28,2019-05-02,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.61,23.64,2019-05-03,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,24.42,23.94,2019-05-06,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.69,24.07,2019-05-07,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.31,23.41,2019-05-08,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.45,23.11,2019-05-09,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.53,23.2,2019-05-10,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.45,22.88,2019-05-13,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.64,22.57,2019-05-14,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.5,22.08,2019-05-15,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.72,22.67,2019-05-16,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.14,22.47,2019-05-17,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.72,22.84,2019-05-20,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,23.36,22.87,2019-05-21,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.67,23.2,2019-05-22,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.22,22.29,2019-05-23,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.32,22.52,2019-05-24,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.44,22.43,2019-05-28,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.39,22.13,2019-05-29,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.96,22.5,2019-05-30,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.11,21.62,2019-05-31,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.25,21.15,2019-06-03,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,22.24,21.35,2019-06-04,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.95,22.29,2019-06-05,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
80688210,21.98,21.99,2019-06-06,RDUS,SCHNITZER STEEL INDUSTRIES INC,3310.0,237.0
