cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
75991610,51.69,52.33,2019-01-02,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,49.45,51.73,2019-01-03,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,50.86,50.17,2019-01-04,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,53.63,51.16,2019-01-07,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.83,53.89,2019-01-08,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.76,54.59,2019-01-09,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.2,54.56,2019-01-10,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.1,54.81,2019-01-11,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.11,54.75,2019-01-14,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.24,54.23,2019-01-15,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.6,55.67,2019-01-16,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.75,55.32,2019-01-17,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.33,56.91,2019-01-18,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.15,57.86,2019-01-22,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.59,55.01,2019-01-23,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.81,54.63,2019-01-24,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.95,55.99,2019-01-25,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.97,57.63,2019-01-28,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.62,55.02,2019-01-29,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.75,55.04,2019-01-30,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.01,55.75,2019-01-31,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.66,57.05,2019-02-01,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.22,57.66,2019-02-04,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.15,58.42,2019-02-05,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.78,58.16,2019-02-06,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.02,57.62,2019-02-07,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.5,56.75,2019-02-08,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.02,57.77,2019-02-11,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,60.11,59.2,2019-02-12,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.46,60.32,2019-02-13,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.82,58.51,2019-02-14,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,60.19,59.0,2019-02-15,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.51,60.19,2019-02-19,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.0,59.81,2019-02-20,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.05,57.51,2019-02-21,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.88,57.86,2019-02-22,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,60.19,59.59,2019-02-25,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.59,60.02,2019-02-26,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.71,59.76,2019-02-27,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.52,59.56,2019-02-28,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,62.8,59.93,2019-03-01,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.14,62.99,2019-03-04,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.06,59.29,2019-03-05,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.64,58.13,2019-03-06,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.56,56.54,2019-03-07,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.73,56.34,2019-03-08,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.66,57.23,2019-03-11,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.14,58.52,2019-03-12,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.71,59.44,2019-03-13,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.17,59.56,2019-03-14,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,60.13,59.43,2019-03-15,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.41,60.12,2019-03-18,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.37,59.5,2019-03-19,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.48,59.46,2019-03-20,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,61.76,59.2,2019-03-21,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.91,61.12,2019-03-22,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.0,59.02,2019-03-25,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.21,59.43,2019-03-26,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.42,59.4,2019-03-27,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.7,57.43,2019-03-28,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.08,59.25,2019-03-29,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.25,59.85,2019-04-01,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.32,59.36,2019-04-02,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,59.4,59.83,2019-04-03,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.96,59.41,2019-04-04,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.9,57.14,2019-04-05,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.17,56.87,2019-04-08,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.69,56.04,2019-04-09,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,58.24,56.55,2019-04-10,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.17,58.31,2019-04-11,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.04,57.66,2019-04-12,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.59,56.1,2019-04-15,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,55.32,55.99,2019-04-16,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.2,55.59,2019-04-17,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.76,54.14,2019-04-18,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,54.74,54.54,2019-04-22,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.25,54.67,2019-04-23,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,56.19,57.39,2019-04-24,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,57.24,56.1,2019-04-25,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,68.89,60.27,2019-04-26,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,68.89,69.18,2019-04-29,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,67.38,67.85,2019-04-30,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,65.82,63.05,2019-05-01,RGEN,REPLIGEN CORP,2830.0,265.0
75991610,65.75,65.55,2019-05-02,RGEN,REPLIGEN CORP,2830.0,265.0
