cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
20564W20,14.86,14.24,2019-01-02,SCOR,COMSCORE INC,7389.0,146.0
20564W20,14.65,14.8,2019-01-03,SCOR,COMSCORE INC,7389.0,146.0
20564W20,15.21,14.77,2019-01-04,SCOR,COMSCORE INC,7389.0,146.0
20564W20,15.66,15.28,2019-01-07,SCOR,COMSCORE INC,7389.0,146.0
20564W20,16.0,15.82,2019-01-08,SCOR,COMSCORE INC,7389.0,146.0
20564W20,15.97,16.06,2019-01-09,SCOR,COMSCORE INC,7389.0,146.0
20564W20,16.6,16.22,2019-01-10,SCOR,COMSCORE INC,7389.0,146.0
20564W20,16.78,16.54,2019-01-11,SCOR,COMSCORE INC,7389.0,146.0
20564W20,16.77,16.68,2019-01-14,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.13,16.78,2019-01-15,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.38,17.15,2019-01-16,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.0,17.34,2019-01-17,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.7,17.13,2019-01-18,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.8,17.58,2019-01-22,SCOR,COMSCORE INC,7389.0,146.0
20564W20,17.98,17.8,2019-01-23,SCOR,COMSCORE INC,7389.0,146.0
20564W20,18.52,17.96,2019-01-24,SCOR,COMSCORE INC,7389.0,146.0
20564W20,19.22,18.53,2019-01-25,SCOR,COMSCORE INC,7389.0,146.0
20564W20,19.43,19.08,2019-01-28,SCOR,COMSCORE INC,7389.0,146.0
20564W20,19.33,19.51,2019-01-29,SCOR,COMSCORE INC,7389.0,146.0
20564W20,19.36,19.37,2019-01-30,SCOR,COMSCORE INC,7389.0,146.0
20564W20,19.69,19.37,2019-01-31,SCOR,COMSCORE INC,7389.0,146.0
20564W20,20.05,19.69,2019-02-01,SCOR,COMSCORE INC,7389.0,146.0
20564W20,20.31,20.05,2019-02-04,SCOR,COMSCORE INC,7389.0,146.0
20564W20,20.94,20.27,2019-02-05,SCOR,COMSCORE INC,7389.0,146.0
20564W20,21.02,20.93,2019-02-06,SCOR,COMSCORE INC,7389.0,146.0
20564W20,20.93,20.92,2019-02-07,SCOR,COMSCORE INC,7389.0,146.0
20564W20,21.3,20.92,2019-02-08,SCOR,COMSCORE INC,7389.0,146.0
20564W20,21.67,21.39,2019-02-11,SCOR,COMSCORE INC,7389.0,146.0
20564W20,22.0,21.83,2019-02-12,SCOR,COMSCORE INC,7389.0,146.0
20564W20,22.13,22.12,2019-02-13,SCOR,COMSCORE INC,7389.0,146.0
20564W20,22.55,22.13,2019-02-14,SCOR,COMSCORE INC,7389.0,146.0
20564W20,22.76,22.54,2019-02-15,SCOR,COMSCORE INC,7389.0,146.0
20564W20,22.37,22.73,2019-02-19,SCOR,COMSCORE INC,7389.0,146.0
