cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
90290T80,18.7883,18.8,2019-01-02,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,18.85,18.85,2019-01-03,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,18.9651,18.96,2019-01-04,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.0603,19.09,2019-01-07,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.145,,2019-01-08,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3105,19.14,2019-01-09,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.2694,19.24,2019-01-10,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.29,,2019-01-11,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.2392,19.3097,2019-01-14,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.18,,2019-01-15,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3108,19.3,2019-01-16,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4294,19.4561,2019-01-17,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.47,19.5,2019-01-18,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.305,,2019-01-22,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3414,19.3414,2019-01-23,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3837,19.365,2019-01-24,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4552,19.4,2019-01-25,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.35,,2019-01-28,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3935,19.4114,2019-01-29,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4916,19.4899,2019-01-30,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.42,19.57,2019-01-31,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4643,19.4809,2019-02-01,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.5124,19.5124,2019-02-04,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4784,19.47,2019-02-05,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.495,,2019-02-06,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.36,,2019-02-07,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.3884,19.3884,2019-02-08,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.35,,2019-02-11,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.39,,2019-02-12,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.41,,2019-02-13,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.345,19.35,2019-02-14,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.6462,19.52,2019-02-15,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7167,19.62,2019-02-19,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7933,19.765,2019-02-20,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7433,19.7496,2019-02-21,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,-19.845,,2019-02-22,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7058,19.7058,2019-02-25,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7148,19.7148,2019-02-26,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.7926,19.73,2019-02-27,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.6943,19.75,2019-02-28,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.58,19.58,2019-03-01,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.513,19.4838,2019-03-04,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.6078,19.5999,2019-03-05,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.5226,19.52,2019-03-06,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4284,19.45,2019-03-07,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.4443,19.34,2019-03-08,SDCI,U S C F ETF TRUST,6726.0,70.0
90290T80,19.353,19.35,2019-03-11,SDCI,U S C F ETF TRUST,6726.0,70.0
