cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
00326410,15.08,14.98,2019-01-02,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.28,15.2,2019-01-03,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.25,15.26,2019-01-04,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.2,15.28,2019-01-07,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.21,15.17,2019-01-08,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.3,15.22,2019-01-09,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.12,15.21,2019-01-10,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.15,15.13,2019-01-11,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.21,15.2,2019-01-14,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.12,15.23,2019-01-15,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.15,15.17,2019-01-16,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.1,15.08,2019-01-17,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,14.88,14.97,2019-01-18,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,14.91,14.85,2019-01-22,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,14.94,14.88,2019-01-23,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,14.88,14.92,2019-01-24,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.27,15.1,2019-01-25,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.31,15.17,2019-01-28,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.4,15.41,2019-01-29,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.61,15.45,2019-01-30,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.59,15.7,2019-01-31,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.46,15.58,2019-02-01,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
00326410,15.42,15.37,2019-02-04,SIVR,ABRDN SILVER ETF TRUST,6726.0,178.0
