cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G8060N10,45.02,44.15,2019-01-02,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,43.51,44.57,2019-01-03,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.35,43.72,2019-01-04,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.11,44.66,2019-01-07,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.2,44.3,2019-01-08,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.9,44.76,2019-01-09,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.07,44.55,2019-01-10,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.28,44.92,2019-01-11,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.24,45.11,2019-01-14,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.82,45.34,2019-01-15,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.41,45.82,2019-01-16,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.76,45.92,2019-01-17,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.44,47.25,2019-01-18,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.71,46.91,2019-01-22,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.0,46.7,2019-01-23,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.35,46.02,2019-01-24,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.29,47.02,2019-01-25,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.0,46.73,2019-01-28,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.0,46.83,2019-01-29,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.33,47.25,2019-01-30,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.5,47.22,2019-01-31,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.11,47.6,2019-02-01,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.73,47.93,2019-02-04,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.98,47.82,2019-02-05,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.74,46.78,2019-02-06,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.75,48.28,2019-02-07,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.53,46.43,2019-02-08,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.73,46.45,2019-02-11,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.63,47.05,2019-02-12,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.67,47.9,2019-02-13,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.12,48.56,2019-02-14,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.27,48.52,2019-02-15,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.45,48.63,2019-02-19,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.78,49.22,2019-02-20,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.07,49.66,2019-02-21,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.03,50.26,2019-02-22,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.0,51.42,2019-02-25,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.53,51.05,2019-02-26,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.73,50.47,2019-02-27,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.73,50.63,2019-02-28,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.0,51.1,2019-03-01,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.1,51.26,2019-03-04,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.65,50.94,2019-03-05,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.81,50.59,2019-03-06,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.91,49.35,2019-03-07,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.07,48.4,2019-03-08,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.73,48.14,2019-03-11,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.43,48.99,2019-03-12,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.6,48.57,2019-03-13,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.76,48.4,2019-03-14,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.69,47.92,2019-03-15,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.8,47.93,2019-03-18,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.82,47.99,2019-03-19,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.37,47.59,2019-03-20,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.02,46.0,2019-03-21,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.7,46.87,2019-03-22,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.63,45.75,2019-03-25,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.82,45.94,2019-03-26,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.86,45.64,2019-03-27,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.43,44.75,2019-03-28,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.02,44.81,2019-03-29,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.93,45.7,2019-04-01,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.5,46.86,2019-04-02,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.59,47.5,2019-04-03,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.19,48.54,2019-04-04,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.33,48.42,2019-04-05,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.72,48.17,2019-04-08,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,47.57,48.4,2019-04-09,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.19,47.67,2019-04-10,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.54,48.3,2019-04-11,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.65,48.86,2019-04-12,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.11,48.62,2019-04-15,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.11,49.27,2019-04-16,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.5,50.68,2019-04-17,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.25,50.77,2019-04-18,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.56,50.29,2019-04-22,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.09,50.55,2019-04-23,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.09,51.24,2019-04-24,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.38,50.78,2019-04-25,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.09,50.19,2019-04-26,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.07,50.16,2019-04-29,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.94,49.94,2019-04-30,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.99,50.0,2019-05-01,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.76,49.9,2019-05-02,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,51.79,50.96,2019-05-03,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,50.6,50.5,2019-05-06,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,49.45,49.82,2019-05-07,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.98,49.28,2019-05-08,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.69,48.38,2019-05-09,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,48.87,48.46,2019-05-10,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.56,47.6,2019-05-13,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.03,45.82,2019-05-14,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.55,45.64,2019-05-15,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,46.82,46.75,2019-05-16,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.92,46.37,2019-05-17,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.01,45.43,2019-05-20,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.57,45.12,2019-05-21,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.92,45.23,2019-05-22,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.32,44.26,2019-05-23,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,44.16,44.71,2019-05-24,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,43.73,44.11,2019-05-28,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,43.26,43.38,2019-05-29,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,43.84,43.51,2019-05-30,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,42.69,43.07,2019-05-31,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,43.64,42.69,2019-06-03,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.45,44.26,2019-06-04,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.35,45.75,2019-06-05,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
G8060N10,45.34,45.35,2019-06-06,ST,SENSATA TECHNOLOGIES HOLDING PLC,5531.0,171.0
