cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
40054A10,8.49,8.73,2019-01-02,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.54,8.49,2019-01-03,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.9,8.5,2019-01-04,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.88,8.88,2019-01-07,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.92,8.71,2019-01-08,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.3,8.95,2019-01-09,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.48,9.28,2019-01-10,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.65,9.46,2019-01-11,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.41,9.62,2019-01-14,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.38,9.39,2019-01-15,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.2,9.4,2019-01-16,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.2,9.18,2019-01-17,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.46,9.3,2019-01-18,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.16,9.42,2019-01-22,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.37,9.27,2019-01-23,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.24,9.34,2019-01-24,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.44,9.38,2019-01-25,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.79,9.32,2019-01-28,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.91,9.88,2019-01-29,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.29,9.98,2019-01-30,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.49,10.39,2019-01-31,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.71,10.37,2019-02-01,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,11.3,10.65,2019-02-04,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,11.31,11.29,2019-02-05,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.76,11.11,2019-02-06,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.63,10.62,2019-02-07,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.79,10.65,2019-02-08,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.82,10.8,2019-02-11,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,11.02,10.97,2019-02-12,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.58,11.01,2019-02-13,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.82,10.47,2019-02-14,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.63,10.87,2019-02-15,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.97,10.53,2019-02-19,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.68,10.03,2019-02-20,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.4,9.51,2019-02-21,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,10.04,9.52,2019-02-22,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.63,10.16,2019-02-25,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.59,9.58,2019-02-26,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,9.13,9.6,2019-02-27,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.92,9.2,2019-02-28,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.26,9.0,2019-03-01,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.12,8.26,2019-03-04,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.19,8.18,2019-03-05,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.54,8.13,2019-03-06,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.31,7.55,2019-03-07,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.57,7.44,2019-03-08,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.55,7.75,2019-03-11,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.47,7.57,2019-03-12,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.44,7.49,2019-03-13,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.27,7.42,2019-03-14,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.66,7.38,2019-03-15,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,8.0,7.65,2019-03-18,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.65,8.1,2019-03-19,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.44,7.63,2019-03-20,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,7.19,7.44,2019-03-21,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.52,7.03,2019-03-22,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.7,6.52,2019-03-25,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.19,6.66,2019-03-26,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.05,6.08,2019-03-27,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.16,6.04,2019-03-28,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.08,6.21,2019-03-29,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.2,6.26,2019-04-01,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.02,6.19,2019-04-02,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.82,6.04,2019-04-03,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.88,5.78,2019-04-04,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.98,5.94,2019-04-05,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.37,5.95,2019-04-08,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.97,6.34,2019-04-09,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.91,5.97,2019-04-10,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.92,5.92,2019-04-11,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.96,5.89,2019-04-12,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.09,5.99,2019-04-15,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.05,6.11,2019-04-16,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.12,6.1,2019-04-17,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.65,6.09,2019-04-18,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.55,5.71,2019-04-22,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.72,5.66,2019-04-23,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.04,5.67,2019-04-24,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.2,4.97,2019-04-25,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,4.97,5.3,2019-04-26,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.0,5.02,2019-04-29,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.08,5.03,2019-04-30,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.28,5.09,2019-05-01,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.34,5.24,2019-05-02,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.74,5.4,2019-05-03,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.75,5.42,2019-05-06,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.28,5.67,2019-05-07,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.45,5.29,2019-05-08,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.58,5.4,2019-05-09,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.44,5.53,2019-05-10,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.27,5.24,2019-05-13,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.3,5.33,2019-05-14,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.54,5.25,2019-05-15,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.65,5.52,2019-05-16,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.29,5.56,2019-05-17,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.43,5.24,2019-05-20,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,6.1,5.5,2019-05-21,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.88,6.1,2019-05-22,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.75,5.86,2019-05-23,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.9,5.81,2019-05-24,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.9,5.97,2019-05-28,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
40054A10,5.97,5.85,2019-05-29,SUPV,GRUPO SUPERVIELLE SA,6021.0,3.0
