cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
88224Q10,51.61,50.3,2019-01-02,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,51.84,51.54,2019-01-03,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,53.2,52.75,2019-01-04,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,53.12,52.94,2019-01-07,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,53.51,52.73,2019-01-08,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,53.83,53.55,2019-01-09,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,53.83,53.84,2019-01-10,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,54.2,53.45,2019-01-11,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,54.31,53.86,2019-01-14,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,54.77,54.15,2019-01-15,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,56.47,55.17,2019-01-16,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,56.85,56.07,2019-01-17,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,58.56,57.0,2019-01-18,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,57.98,57.85,2019-01-22,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,58.31,58.11,2019-01-23,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,57.67,58.3,2019-01-24,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.02,58.16,2019-01-25,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.07,59.47,2019-01-28,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.95,61.33,2019-01-29,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.91,60.97,2019-01-30,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,58.27,59.52,2019-01-31,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.28,58.62,2019-02-01,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.32,59.25,2019-02-04,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.46,60.33,2019-02-05,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.11,59.11,2019-02-06,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.77,59.71,2019-02-07,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,57.92,59.35,2019-02-08,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,58.6,58.04,2019-02-11,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.74,59.15,2019-02-12,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.85,59.99,2019-02-13,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,58.9,59.11,2019-02-14,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.32,59.41,2019-02-15,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.94,59.95,2019-02-19,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.87,61.13,2019-02-20,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.27,61.82,2019-02-21,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.52,61.3,2019-02-22,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.61,61.99,2019-02-25,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.52,61.44,2019-02-26,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.95,60.66,2019-02-27,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.03,61.12,2019-02-28,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.95,61.8,2019-03-01,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.16,61.75,2019-03-04,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,61.72,61.0,2019-03-05,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,60.14,61.52,2019-03-06,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
88224Q10,59.0,59.71,2019-03-07,TCBI,TEXAS CAPITAL BANCSHARES INC,6021.0,186.0
