cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
90011120,5.51,5.36,2019-01-02,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.38,5.33,2019-01-03,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.55,5.4,2019-01-04,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.72,5.69,2019-01-07,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.75,5.75,2019-01-08,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.72,5.67,2019-01-09,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.74,5.73,2019-01-10,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.81,5.73,2019-01-11,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.85,5.78,2019-01-14,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.02,6.03,2019-01-15,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.29,6.27,2019-01-16,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.4,6.38,2019-01-17,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.59,6.61,2019-01-18,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.64,6.62,2019-01-22,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.82,6.76,2019-01-23,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.75,6.8,2019-01-24,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.73,6.8,2019-01-25,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.7,6.68,2019-01-28,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.89,6.87,2019-01-29,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.98,6.85,2019-01-30,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.95,6.89,2019-01-31,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.86,6.94,2019-02-01,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.97,6.94,2019-02-04,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.91,6.93,2019-02-05,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.77,6.86,2019-02-06,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.75,6.78,2019-02-07,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.87,6.85,2019-02-08,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,7.03,7.09,2019-02-11,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,7.03,7.11,2019-02-12,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.92,7.11,2019-02-13,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.94,6.95,2019-02-14,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.97,7.01,2019-02-15,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.91,6.99,2019-02-19,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.99,6.91,2019-02-20,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.4,6.58,2019-02-21,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.43,6.42,2019-02-22,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.67,6.66,2019-02-25,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.65,6.59,2019-02-26,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.62,6.67,2019-02-27,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.6,6.63,2019-02-28,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.39,6.44,2019-03-01,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.45,6.49,2019-03-04,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.57,6.6,2019-03-05,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.26,6.39,2019-03-06,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.32,6.34,2019-03-07,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.42,6.42,2019-03-08,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.59,6.47,2019-03-11,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.45,6.51,2019-03-12,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.44,6.53,2019-03-13,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.48,6.46,2019-03-14,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.28,6.28,2019-03-15,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.06,6.08,2019-03-18,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.05,6.05,2019-03-19,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.91,5.92,2019-03-20,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,6.05,6.03,2019-03-21,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.62,5.9,2019-03-22,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.82,5.77,2019-03-25,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.87,5.87,2019-03-26,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
90011120,5.46,5.36,2019-03-27,TKC,TURKCELL ILETISIM HIZMETLERI A S,4813.0,130.0
