cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
91381U20,16.66,16.08,2019-01-02,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.3,16.5,2019-01-03,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.26,16.06,2019-01-04,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.0,16.23,2019-01-07,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.27,16.03,2019-01-08,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.18,16.2,2019-01-09,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.06,16.25,2019-01-10,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,15.84,16.08,2019-01-11,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,15.62,15.67,2019-01-14,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,16.41,15.68,2019-01-15,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,15.93,16.03,2019-01-16,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,15.27,15.91,2019-01-17,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,12.45,15.13,2019-01-18,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,12.16,12.26,2019-01-22,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.75,12.22,2019-01-23,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.71,11.85,2019-01-24,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.59,11.94,2019-01-25,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.39,11.58,2019-01-28,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.45,11.48,2019-01-29,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.43,11.55,2019-01-30,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.44,11.41,2019-01-31,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.58,11.44,2019-02-01,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.5,11.58,2019-02-04,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.44,11.55,2019-02-05,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.6,11.48,2019-02-06,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.33,11.57,2019-02-07,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.41,11.3,2019-02-08,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.32,11.51,2019-02-11,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.47,11.47,2019-02-12,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.44,11.39,2019-02-13,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.25,11.45,2019-02-14,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.24,11.26,2019-02-15,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.74,11.27,2019-02-19,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,11.28,11.73,2019-02-20,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.78,11.3,2019-02-21,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.1,10.91,2019-02-22,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.93,10.21,2019-02-25,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.76,9.91,2019-02-26,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.09,9.78,2019-02-27,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.0,10.09,2019-02-28,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.13,10.04,2019-03-01,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.34,10.18,2019-03-04,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.22,10.37,2019-03-05,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.08,10.26,2019-03-06,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.99,9.99,2019-03-07,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.15,8.99,2019-03-08,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.16,9.25,2019-03-11,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.08,9.17,2019-03-12,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.73,9.12,2019-03-13,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.54,8.77,2019-03-14,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.44,8.6,2019-03-15,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.68,8.48,2019-03-18,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.89,8.76,2019-03-19,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.81,9.01,2019-03-20,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.18,8.86,2019-03-21,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.0,8.16,2019-03-22,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.65,8.05,2019-03-25,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.95,7.73,2019-03-26,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.1,7.94,2019-03-27,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.13,8.11,2019-03-28,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.11,8.17,2019-03-29,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.04,8.12,2019-04-01,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.19,8.07,2019-04-02,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.48,8.22,2019-04-03,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.94,8.74,2019-04-04,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.03,8.89,2019-04-05,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.48,9.07,2019-04-08,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.98,8.45,2019-04-09,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.06,7.95,2019-04-10,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.13,8.09,2019-04-11,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.04,8.22,2019-04-12,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.59,8.0,2019-04-15,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.02,7.66,2019-04-16,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.85,8.02,2019-04-17,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.01,7.84,2019-04-18,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.22,8.03,2019-04-22,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.99,8.25,2019-04-23,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.81,8.0,2019-04-24,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,7.92,7.79,2019-04-25,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.44,7.97,2019-04-26,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.12,8.54,2019-04-29,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.23,8.12,2019-04-30,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.11,8.25,2019-05-01,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.23,8.08,2019-05-02,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.53,8.26,2019-05-03,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.29,8.52,2019-05-06,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.5,9.38,2019-05-07,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.72,8.58,2019-05-08,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.87,8.7,2019-05-09,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,10.21,8.93,2019-05-10,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.35,10.27,2019-05-13,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.95,9.54,2019-05-14,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.3,8.96,2019-05-15,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,9.05,9.43,2019-05-16,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.93,9.0,2019-05-17,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.7,8.97,2019-05-20,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.66,8.7,2019-05-21,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.71,8.6,2019-05-22,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.04,8.55,2019-05-23,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.47,8.13,2019-05-24,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.99,8.55,2019-05-28,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.45,9.17,2019-05-29,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.24,8.53,2019-05-30,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
91381U20,8.16,8.14,2019-05-31,UBX,UNITY BIOTECHNOLOGY INC,9999.0,54.0
