cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46429B69,51.94,51.85,2019-01-02,USMV,ISHARES TRUST,6726.0,158.0
46429B69,51.18,51.74,2019-01-03,USMV,ISHARES TRUST,6726.0,158.0
46429B69,52.3,51.7,2019-01-04,USMV,ISHARES TRUST,6726.0,158.0
46429B69,52.47,52.38,2019-01-07,USMV,ISHARES TRUST,6726.0,158.0
46429B69,52.92,52.86,2019-01-08,USMV,ISHARES TRUST,6726.0,158.0
46429B69,52.93,53.1,2019-01-09,USMV,ISHARES TRUST,6726.0,158.0
46429B69,53.33,52.75,2019-01-10,USMV,ISHARES TRUST,6726.0,158.0
46429B69,53.34,53.15,2019-01-11,USMV,ISHARES TRUST,6726.0,158.0
46429B69,52.95,53.06,2019-01-14,USMV,ISHARES TRUST,6726.0,158.0
46429B69,53.48,53.07,2019-01-15,USMV,ISHARES TRUST,6726.0,158.0
46429B69,53.465,53.57,2019-01-16,USMV,ISHARES TRUST,6726.0,158.0
46429B69,53.83,53.4,2019-01-17,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.43,54.13,2019-01-18,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.05,54.3,2019-01-22,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.36,54.29,2019-01-23,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.23,54.37,2019-01-24,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.42,54.54,2019-01-25,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.3,54.17,2019-01-28,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.39,54.37,2019-01-29,USMV,ISHARES TRUST,6726.0,158.0
46429B69,54.97,54.47,2019-01-30,USMV,ISHARES TRUST,6726.0,158.0
46429B69,55.36,54.9,2019-01-31,USMV,ISHARES TRUST,6726.0,158.0
46429B69,55.49,55.57,2019-02-01,USMV,ISHARES TRUST,6726.0,158.0
46429B69,55.88,55.585,2019-02-04,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.04,55.97,2019-02-05,USMV,ISHARES TRUST,6726.0,158.0
46429B69,55.96,56.04,2019-02-06,USMV,ISHARES TRUST,6726.0,158.0
46429B69,55.84,55.7,2019-02-07,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.07,55.72,2019-02-08,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.08,56.24,2019-02-11,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.48,56.41,2019-02-12,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.61,56.65,2019-02-13,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.45,56.48,2019-02-14,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.03,56.76,2019-02-15,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.15,57.08,2019-02-19,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.2,57.19,2019-02-20,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.23,57.19,2019-02-21,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.54,57.36,2019-02-22,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.38,57.81,2019-02-25,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.35,57.34,2019-02-26,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.34,57.27,2019-02-27,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.48,57.37,2019-02-28,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.78,57.81,2019-03-01,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.47,57.97,2019-03-04,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.46,57.46,2019-03-05,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.24,57.52,2019-03-06,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.98,57.25,2019-03-07,USMV,ISHARES TRUST,6726.0,158.0
46429B69,56.93,56.79,2019-03-08,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.58,57.07,2019-03-11,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.73,57.67,2019-03-12,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.03,57.9,2019-03-13,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.98,58.05,2019-03-14,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.18,58.12,2019-03-15,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.22,58.27,2019-03-18,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.09,58.4,2019-03-19,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.64,57.87,2019-03-20,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.38,57.57,2019-03-21,USMV,ISHARES TRUST,6726.0,158.0
46429B69,57.93,58.23,2019-03-22,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.0,57.95,2019-03-25,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.43,58.3,2019-03-26,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.27,58.51,2019-03-27,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.47,58.41,2019-03-28,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.8,58.65,2019-03-29,USMV,ISHARES TRUST,6726.0,158.0
46429B69,59.01,59.07,2019-04-01,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.97,59.06,2019-04-02,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.93,59.14,2019-04-03,USMV,ISHARES TRUST,6726.0,158.0
46429B69,58.97,58.97,2019-04-04,USMV,ISHARES TRUST,6726.0,158.0
46429B69,59.23,59.18,2019-04-05,USMV,ISHARES TRUST,6726.0,158.0
46429B69,59.22,59.19,2019-04-08,USMV,ISHARES TRUST,6726.0,158.0
46429B69,59.05,59.14,2019-04-09,USMV,ISHARES TRUST,6726.0,158.0
46429B69,59.19,59.17,2019-04-10,USMV,ISHARES TRUST,6726.0,158.0
