cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
29267170,2.78,2.73,2019-01-02,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.8,2.78,2019-01-03,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.02,2.85,2019-01-04,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.09,3.06,2019-01-07,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.04,3.12,2019-01-08,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.19,3.07,2019-01-09,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.12,3.16,2019-01-10,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.02,3.09,2019-01-11,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.91,2.98,2019-01-14,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.96,2.92,2019-01-15,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.86,3.0,2019-01-16,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.87,2.84,2019-01-17,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.91,2.88,2019-01-18,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.68,2.89,2019-01-22,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.72,2.87,2019-01-23,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.72,2.69,2019-01-24,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.91,2.72,2019-01-25,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.82,2.9,2019-01-28,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.88,2.8,2019-01-29,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.9,2.95,2019-01-30,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.86,2.92,2019-01-31,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.93,2.9,2019-02-01,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.11,2.95,2019-02-04,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.36,3.14,2019-02-05,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.15,3.43,2019-02-06,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.13,3.14,2019-02-07,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.0,3.11,2019-02-08,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.05,3.0,2019-02-11,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.03,3.12,2019-02-12,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.93,3.06,2019-02-13,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.04,2.89,2019-02-14,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.02,3.03,2019-02-15,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.95,3.03,2019-02-19,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.98,2.96,2019-02-20,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.03,2.91,2019-02-21,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.02,3.04,2019-02-22,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.01,3.0,2019-02-25,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.13,3.0,2019-02-26,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.11,3.15,2019-02-27,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.07,3.06,2019-02-28,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.05,3.09,2019-03-01,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.94,3.05,2019-03-04,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.9,2.95,2019-03-05,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.86,2.92,2019-03-06,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.77,2.85,2019-03-07,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.82,2.79,2019-03-08,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.74,2.84,2019-03-11,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.68,2.7,2019-03-12,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,2.99,2.66,2019-03-13,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.08,3.0,2019-03-14,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.21,3.09,2019-03-15,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.17,3.25,2019-03-18,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.26,3.19,2019-03-19,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.28,3.26,2019-03-20,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.24,3.29,2019-03-21,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.16,3.23,2019-03-22,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.19,3.15,2019-03-25,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.32,3.24,2019-03-26,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.28,3.34,2019-03-27,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.31,3.29,2019-03-28,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.33,3.35,2019-03-29,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.46,3.43,2019-04-01,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.55,3.49,2019-04-02,UUUU,ENERGY FUELS INC,1311.0,123.0
29267170,3.59,3.58,2019-04-03,UUUU,ENERGY FUELS INC,1311.0,123.0
