cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
92335C10,8.8,8.38,2019-01-02,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.68,8.79,2019-01-03,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.91,8.81,2019-01-04,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.14,8.95,2019-01-07,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.32,9.2,2019-01-08,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.44,9.31,2019-01-09,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.24,9.28,2019-01-10,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.55,9.25,2019-01-11,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.17,9.5,2019-01-14,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.31,9.24,2019-01-15,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.35,9.3,2019-01-16,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.55,9.31,2019-01-17,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.72,9.62,2019-01-18,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.38,9.71,2019-01-22,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.34,9.41,2019-01-23,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.27,9.35,2019-01-24,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.35,9.28,2019-01-25,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.23,9.27,2019-01-28,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.92,9.23,2019-01-29,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.96,8.96,2019-01-30,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.95,8.95,2019-01-31,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.86,9.0,2019-02-01,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.91,8.86,2019-02-04,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.03,8.93,2019-02-05,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.04,9.08,2019-02-06,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,8.96,8.98,2019-02-07,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.11,8.96,2019-02-08,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.29,9.16,2019-02-11,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.35,9.31,2019-02-12,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.1,9.39,2019-02-13,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.08,9.02,2019-02-14,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.25,9.15,2019-02-15,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.37,9.26,2019-02-19,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.47,9.34,2019-02-20,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.59,9.46,2019-02-21,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.53,9.45,2019-02-22,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.63,9.58,2019-02-25,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.69,9.64,2019-02-26,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.72,9.63,2019-02-27,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.55,9.68,2019-02-28,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.83,9.66,2019-03-01,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,9.75,9.84,2019-03-04,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,10.19,9.77,2019-03-05,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,10.14,10.2,2019-03-06,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,10.01,10.11,2019-03-07,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,10.09,10.01,2019-03-08,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,10.41,10.15,2019-03-11,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.18,10.44,2019-03-12,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.62,12.7,2019-03-13,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,14.01,13.7,2019-03-14,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.96,14.13,2019-03-15,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.58,13.96,2019-03-18,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.25,13.65,2019-03-19,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.81,13.25,2019-03-20,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.86,12.81,2019-03-21,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.38,12.77,2019-03-22,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.77,12.33,2019-03-25,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.76,12.85,2019-03-26,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.14,12.81,2019-03-27,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.29,13.29,2019-03-28,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.25,13.31,2019-03-29,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.31,13.25,2019-04-01,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.25,13.24,2019-04-02,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.08,13.26,2019-04-03,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.34,13.08,2019-04-04,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,13.1,13.42,2019-04-05,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.78,13.01,2019-04-08,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.46,12.69,2019-04-09,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.48,12.49,2019-04-10,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.84,12.43,2019-04-11,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.99,11.96,2019-04-12,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.78,11.97,2019-04-15,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.81,11.79,2019-04-16,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.68,11.88,2019-04-17,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.51,11.6,2019-04-18,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.24,11.45,2019-04-22,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.42,11.33,2019-04-23,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.8,11.45,2019-04-24,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.74,11.8,2019-04-25,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.08,11.69,2019-04-26,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.7,12.2,2019-04-29,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.28,12.68,2019-04-30,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.4,12.36,2019-05-01,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.54,12.41,2019-05-02,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.67,12.6,2019-05-03,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.5,12.46,2019-05-06,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.28,12.38,2019-05-07,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,12.02,12.19,2019-05-08,VRA,VERA BRADLEY INC,9999.0,119.0
92335C10,11.92,11.98,2019-05-09,VRA,VERA BRADLEY INC,9999.0,119.0
