cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
26923G84,22.445,22.445,2019-01-02,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,22.1202,22.17,2019-01-03,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,22.8184,22.49,2019-01-04,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-22.935,,2019-01-07,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.105,,2019-01-08,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.335,,2019-01-09,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,23.4523,23.4523,2019-01-10,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.415,,2019-01-11,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.32,,2019-01-14,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,23.5052,23.41,2019-01-15,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.615,,2019-01-16,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.755,,2019-01-17,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.0308,24.0416,2019-01-18,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,23.6837,23.83,2019-01-22,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,23.8046,23.67,2019-01-23,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-23.915,,2019-01-24,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.134,24.17,2019-01-25,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.0072,24.0072,2019-01-28,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.045,,2019-01-29,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.335,,2019-01-30,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.4389,24.4389,2019-01-31,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.4345,24.4345,2019-02-01,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.5282,24.5282,2019-02-04,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.655,,2019-02-05,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.575,,2019-02-06,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.365,,2019-02-07,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.345,,2019-02-08,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.31,,2019-02-11,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.555,,2019-02-12,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.575,,2019-02-13,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.565,,2019-02-14,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.875,,2019-02-15,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.951,24.951,2019-02-19,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.0542,25.0542,2019-02-20,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.9946,24.9946,2019-02-21,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.155,,2019-02-22,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.175,,2019-02-25,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.22,,2019-02-26,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.185,,2019-02-27,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.125,,2019-02-28,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.2246,25.2246,2019-03-01,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.0746,25.0746,2019-03-04,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.1256,25.07,2019-03-05,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.945,,2019-03-06,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.7098,24.67,2019-03-07,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.6823,24.6823,2019-03-08,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,24.9473,24.9473,2019-03-11,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.005,,2019-03-12,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.145,,2019-03-13,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.135,,2019-03-14,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.275,,2019-03-15,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.395,,2019-03-18,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.395,,2019-03-19,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.25,,2019-03-20,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.415,,2019-03-21,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.905,,2019-03-22,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.915,,2019-03-25,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.095,,2019-03-26,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.015,,2019-03-27,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.085,,2019-03-28,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.195,,2019-03-29,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.565,,2019-04-01,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.55,,2019-04-02,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.6633,25.6633,2019-04-03,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.695,,2019-04-04,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.775,,2019-04-05,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.79,,2019-04-08,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.6289,25.6289,2019-04-09,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.765,,2019-04-10,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.735,,2019-04-11,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.925,,2019-04-12,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.895,,2019-04-15,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.945,,2019-04-16,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.89,,2019-04-17,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.8961,25.8961,2019-04-18,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.8486,25.8,2019-04-22,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.99,,2019-04-23,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.855,,2019-04-24,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.835,,2019-04-25,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.985,,2019-04-26,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-26.035,,2019-04-29,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-26.115,,2019-04-30,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.89,,2019-05-01,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.895,,2019-05-02,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-26.115,,2019-05-03,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.935,,2019-05-06,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.545,,2019-05-07,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.525,,2019-05-08,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,25.4404,25.4404,2019-05-09,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-25.595,,2019-05-10,VWID,ETFIS SERIES TRUST I,6726.0,78.0
26923G84,-24.945,,2019-05-13,VWID,ETFIS SERIES TRUST I,6726.0,78.0
