cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
97651M10,5.11,5.07,2019-01-02,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.05,5.07,2019-01-03,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.06,5.05,2019-01-04,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.06,5.07,2019-01-07,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.11,5.07,2019-01-08,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.13,5.11,2019-01-09,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.09,5.06,2019-01-10,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.12,5.08,2019-01-11,WIT,WIPRO LTD,7371.0,110.0
97651M10,4.9,4.89,2019-01-14,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.12,5.1,2019-01-15,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.16,5.18,2019-01-16,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.24,5.15,2019-01-17,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.34,5.33,2019-01-18,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.35,5.34,2019-01-22,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.43,5.37,2019-01-23,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.43,5.46,2019-01-24,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.46,5.48,2019-01-25,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.5,5.43,2019-01-28,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.5,5.57,2019-01-29,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.52,5.42,2019-01-30,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.69,5.62,2019-01-31,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.63,5.67,2019-02-01,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.65,5.63,2019-02-04,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.63,5.63,2019-02-05,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.65,5.65,2019-02-06,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.66,5.65,2019-02-07,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.66,5.65,2019-02-08,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.64,5.69,2019-02-11,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.75,5.7,2019-02-12,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.74,5.75,2019-02-13,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.76,5.73,2019-02-14,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.67,5.73,2019-02-15,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.53,5.53,2019-02-19,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.61,5.65,2019-02-20,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.65,5.63,2019-02-21,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.7,5.69,2019-02-22,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.78,5.79,2019-02-25,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.77,5.75,2019-02-26,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.66,5.65,2019-02-27,WIT,WIPRO LTD,7371.0,110.0
97651M10,5.6,5.55,2019-02-28,WIT,WIPRO LTD,7371.0,110.0
