cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
81369Y30,50.48,50.24,2019-01-02,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,50.19,50.39,2019-01-03,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.26,50.52,2019-01-04,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.19,51.13,2019-01-07,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.66,51.49,2019-01-08,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.18,51.65,2019-01-09,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.48,51.08,2019-01-10,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.63,51.59,2019-01-11,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.38,51.5,2019-01-14,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.89,51.37,2019-01-15,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.61,51.87,2019-01-16,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.83,51.53,2019-01-17,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,52.45,52.13,2019-01-18,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.97,52.31,2019-01-22,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,52.59,52.37,2019-01-23,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.94,52.31,2019-01-24,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.73,52.1,2019-01-25,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,51.95,51.62,2019-01-28,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,52.07,52.05,2019-01-29,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,52.42,52.12,2019-01-30,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.39,52.43,2019-01-31,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.22,53.55,2019-02-01,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.56,53.21,2019-02-04,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.57,53.6,2019-02-05,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.58,53.42,2019-02-06,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.54,53.35,2019-02-07,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.79,53.43,2019-02-08,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.93,53.84,2019-02-11,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.35,54.04,2019-02-12,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.45,54.45,2019-02-13,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.84,53.88,2019-02-14,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.35,54.1,2019-02-15,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.63,54.48,2019-02-19,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.53,54.58,2019-02-20,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.69,54.44,2019-02-21,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.43,54.18,2019-02-22,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.13,54.54,2019-02-25,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.16,54.16,2019-02-26,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.08,54.04,2019-02-27,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.34,54.21,2019-02-28,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.24,54.5,2019-03-01,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.15,54.34,2019-03-04,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.11,54.14,2019-03-05,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.03,54.1,2019-03-06,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.68,53.94,2019-03-07,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,53.71,53.73,2019-03-08,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.41,53.8,2019-03-11,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.43,54.42,2019-03-12,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y30,54.74,54.47,2019-03-13,XLP,SELECT SECTOR SPDR TRUST,6726.0,288.0
