cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
98420U80,0.1603,0.145,2019-01-02,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1659,0.1622,2019-01-03,XWEL,XWELL INC,4899.0,154.0
98420U80,0.163,0.1553,2019-01-04,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1668,0.1621,2019-01-07,XWEL,XWELL INC,4899.0,154.0
98420U80,0.18,0.165,2019-01-08,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2046,0.23,2019-01-09,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1901,0.1906,2019-01-10,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1921,0.19,2019-01-11,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1839,0.1941,2019-01-14,XWEL,XWELL INC,4899.0,154.0
98420U80,0.185,0.18,2019-01-15,XWEL,XWELL INC,4899.0,154.0
98420U80,0.19,0.187,2019-01-16,XWEL,XWELL INC,4899.0,154.0
98420U80,0.19,0.181,2019-01-17,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1935,0.198,2019-01-18,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1885,0.186,2019-01-22,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1895,0.1831,2019-01-23,XWEL,XWELL INC,4899.0,154.0
98420U80,0.19,0.186,2019-01-24,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1909,0.1932,2019-01-25,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1875,0.197,2019-01-28,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1803,0.1899,2019-01-29,XWEL,XWELL INC,4899.0,154.0
98420U80,0.185,0.19,2019-01-30,XWEL,XWELL INC,4899.0,154.0
98420U80,0.21,0.185,2019-01-31,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2,0.2,2019-02-01,XWEL,XWELL INC,4899.0,154.0
98420U80,0.197,0.21,2019-02-04,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1969,0.1962,2019-02-05,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2169,0.2058,2019-02-06,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2111,0.2071,2019-02-07,XWEL,XWELL INC,4899.0,154.0
98420U80,0.206,0.21,2019-02-08,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2099,0.215,2019-02-11,XWEL,XWELL INC,4899.0,154.0
98420U80,0.20831,0.21,2019-02-12,XWEL,XWELL INC,4899.0,154.0
98420U80,0.205,0.205,2019-02-13,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2055,0.205,2019-02-14,XWEL,XWELL INC,4899.0,154.0
98420U80,0.2,0.2055,2019-02-15,XWEL,XWELL INC,4899.0,154.0
98420U80,0.18961,0.191,2019-02-19,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1855,0.19,2019-02-20,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1903,0.182,2019-02-21,XWEL,XWELL INC,4899.0,154.0
98420U80,0.1747,0.18,2019-02-22,XWEL,XWELL INC,4899.0,154.0
98420U80,3.3,3.38,2019-02-25,XWEL,XWELL INC,4899.0,154.0
98420U80,3.47,3.29,2019-02-26,XWEL,XWELL INC,4899.0,154.0
98420U80,3.3,3.37,2019-02-27,XWEL,XWELL INC,4899.0,154.0
98420U80,3.45,3.31,2019-02-28,XWEL,XWELL INC,4899.0,154.0
98420U80,3.77,3.52,2019-03-01,XWEL,XWELL INC,4899.0,154.0
98420U80,4.18,3.82,2019-03-04,XWEL,XWELL INC,4899.0,154.0
98420U80,3.92,4.14,2019-03-05,XWEL,XWELL INC,4899.0,154.0
98420U80,4.14,3.91,2019-03-06,XWEL,XWELL INC,4899.0,154.0
98420U80,3.81,4.08,2019-03-07,XWEL,XWELL INC,4899.0,154.0
98420U80,3.99,3.86,2019-03-08,XWEL,XWELL INC,4899.0,154.0
98420U80,4.0,3.91,2019-03-11,XWEL,XWELL INC,4899.0,154.0
98420U80,4.03,4.0,2019-03-12,XWEL,XWELL INC,4899.0,154.0
98420U80,3.87,4.01,2019-03-13,XWEL,XWELL INC,4899.0,154.0
98420U80,3.74,3.9,2019-03-14,XWEL,XWELL INC,4899.0,154.0
98420U80,3.67,3.72,2019-03-15,XWEL,XWELL INC,4899.0,154.0
98420U80,3.46,3.64,2019-03-18,XWEL,XWELL INC,4899.0,154.0
98420U80,3.49,3.46,2019-03-19,XWEL,XWELL INC,4899.0,154.0
98420U80,3.32,3.46,2019-03-20,XWEL,XWELL INC,4899.0,154.0
98420U80,3.32,3.31,2019-03-21,XWEL,XWELL INC,4899.0,154.0
98420U80,3.11,3.27,2019-03-22,XWEL,XWELL INC,4899.0,154.0
98420U80,2.93,3.09,2019-03-25,XWEL,XWELL INC,4899.0,154.0
98420U80,3.1,2.9,2019-03-26,XWEL,XWELL INC,4899.0,154.0
98420U80,2.99,3.11,2019-03-27,XWEL,XWELL INC,4899.0,154.0
98420U80,3.0,2.92,2019-03-28,XWEL,XWELL INC,4899.0,154.0
98420U80,2.4,2.41,2019-03-29,XWEL,XWELL INC,4899.0,154.0
98420U80,2.59,2.46,2019-04-01,XWEL,XWELL INC,4899.0,154.0
98420U80,2.63,2.59,2019-04-02,XWEL,XWELL INC,4899.0,154.0
98420U80,2.59,2.61,2019-04-03,XWEL,XWELL INC,4899.0,154.0
98420U80,2.46,2.5,2019-04-04,XWEL,XWELL INC,4899.0,154.0
98420U80,2.39,2.46,2019-04-05,XWEL,XWELL INC,4899.0,154.0
98420U80,2.34,2.33,2019-04-08,XWEL,XWELL INC,4899.0,154.0
98420U80,2.34,2.28,2019-04-09,XWEL,XWELL INC,4899.0,154.0
98420U80,2.45,2.34,2019-04-10,XWEL,XWELL INC,4899.0,154.0
98420U80,2.4,2.42,2019-04-11,XWEL,XWELL INC,4899.0,154.0
98420U80,2.3,2.38,2019-04-12,XWEL,XWELL INC,4899.0,154.0
98420U80,2.26,2.24,2019-04-15,XWEL,XWELL INC,4899.0,154.0
98420U80,2.25,2.26,2019-04-16,XWEL,XWELL INC,4899.0,154.0
