cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
98585N10,15.0,14.51,2019-01-02,YEXT,YEXT INC,7374.0,83.0
98585N10,14.34,14.68,2019-01-03,YEXT,YEXT INC,7374.0,83.0
98585N10,14.8,14.62,2019-01-04,YEXT,YEXT INC,7374.0,83.0
98585N10,15.46,14.86,2019-01-07,YEXT,YEXT INC,7374.0,83.0
98585N10,15.43,15.55,2019-01-08,YEXT,YEXT INC,7374.0,83.0
98585N10,15.41,15.51,2019-01-09,YEXT,YEXT INC,7374.0,83.0
98585N10,16.06,15.44,2019-01-10,YEXT,YEXT INC,7374.0,83.0
98585N10,15.82,15.99,2019-01-11,YEXT,YEXT INC,7374.0,83.0
98585N10,15.29,15.67,2019-01-14,YEXT,YEXT INC,7374.0,83.0
98585N10,14.92,14.52,2019-01-15,YEXT,YEXT INC,7374.0,83.0
98585N10,14.52,14.88,2019-01-16,YEXT,YEXT INC,7374.0,83.0
98585N10,14.5,14.42,2019-01-17,YEXT,YEXT INC,7374.0,83.0
98585N10,14.74,14.57,2019-01-18,YEXT,YEXT INC,7374.0,83.0
98585N10,14.28,14.69,2019-01-22,YEXT,YEXT INC,7374.0,83.0
98585N10,14.03,14.35,2019-01-23,YEXT,YEXT INC,7374.0,83.0
98585N10,14.05,14.0,2019-01-24,YEXT,YEXT INC,7374.0,83.0
98585N10,14.84,14.55,2019-01-25,YEXT,YEXT INC,7374.0,83.0
98585N10,14.96,14.71,2019-01-28,YEXT,YEXT INC,7374.0,83.0
98585N10,14.34,14.96,2019-01-29,YEXT,YEXT INC,7374.0,83.0
98585N10,15.26,14.66,2019-01-30,YEXT,YEXT INC,7374.0,83.0
98585N10,15.59,15.26,2019-01-31,YEXT,YEXT INC,7374.0,83.0
98585N10,15.84,15.54,2019-02-01,YEXT,YEXT INC,7374.0,83.0
98585N10,16.73,15.89,2019-02-04,YEXT,YEXT INC,7374.0,83.0
98585N10,17.31,16.88,2019-02-05,YEXT,YEXT INC,7374.0,83.0
98585N10,17.2,17.31,2019-02-06,YEXT,YEXT INC,7374.0,83.0
98585N10,17.41,16.98,2019-02-07,YEXT,YEXT INC,7374.0,83.0
98585N10,17.66,17.3,2019-02-08,YEXT,YEXT INC,7374.0,83.0
98585N10,18.09,17.79,2019-02-11,YEXT,YEXT INC,7374.0,83.0
98585N10,18.25,18.46,2019-02-12,YEXT,YEXT INC,7374.0,83.0
