cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
03050610,17.02,18.27,2009-01-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,18.16,16.97,2009-01-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,18.7,18.46,2009-01-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.54,18.26,2009-01-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,18.16,17.26,2009-01-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.71,18.11,2009-01-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.8,16.64,2009-01-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.96,15.81,2009-01-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.0,15.65,2009-01-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.75,14.93,2009-01-15,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.53,16.34,2009-01-16,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.5,16.32,2009-01-20,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.61,15.62,2009-01-21,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.7,16.41,2009-01-22,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.37,15.17,2009-01-23,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.98,15.35,2009-01-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.56,15.99,2009-01-27,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.51,15.8,2009-01-28,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.38,16.3,2009-01-29,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.05,15.51,2009-01-30,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.26,14.87,2009-02-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.89,15.36,2009-02-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.94,16.84,2009-02-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.71,15.83,2009-02-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.2,15.65,2009-02-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.14,16.08,2009-02-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.6,16.01,2009-02-10,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.68,15.55,2009-02-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.11,14.5,2009-02-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,13.88,13.97,2009-02-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,13.41,13.49,2009-02-17,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.58,13.53,2009-02-18,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.3,16.05,2009-02-19,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.58,15.17,2009-02-20,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.33,14.68,2009-02-23,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.22,14.32,2009-02-24,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.84,15.13,2009-02-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.14,14.94,2009-02-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.47,14.07,2009-02-27,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.5,14.25,2009-03-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.77,14.6,2009-03-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.94,14.98,2009-03-04,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.01,14.58,2009-03-05,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,13.88,14.01,2009-03-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,13.45,13.67,2009-03-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.33,13.5,2009-03-10,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.21,14.39,2009-03-11,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.93,14.09,2009-03-12,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.46,14.97,2009-03-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,14.08,14.46,2009-03-16,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.15,14.04,2009-03-17,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.17,15.12,2009-03-18,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.04,15.37,2009-03-19,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.12,16.22,2009-03-20,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.94,15.66,2009-03-23,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,15.53,15.6,2009-03-24,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.52,15.78,2009-03-25,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.8,17.73,2009-03-26,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.27,17.51,2009-03-27,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,16.66,16.74,2009-03-30,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.56,16.83,2009-03-31,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.61,17.15,2009-04-01,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,19.4,17.98,2009-04-02,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,19.29,19.35,2009-04-03,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,18.91,19.34,2009-04-06,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,18.31,18.66,2009-04-07,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,19.0,18.52,2009-04-08,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,20.01,19.47,2009-04-09,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.5,19.27,2009-04-13,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
03050610,17.45,17.5,2009-04-14,AMWD,AMERICAN WOODMARK CORP,2430.0,248.0
