cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
04648430,0.27,0.24,2009-01-02,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.31,0.2,2009-01-05,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3201,0.33,2009-01-06,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.325,0.2702,2009-01-07,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.328,0.3298,2009-01-08,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.315,0.31,2009-01-09,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.31,0.34,2009-01-12,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.35,0.3399,2009-01-13,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.35,0.35,2009-01-14,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3001,0.3,2009-01-15,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3337,0.34,2009-01-16,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.32,0.32,2009-01-20,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3115,0.3201,2009-01-21,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.339,0.32,2009-01-22,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.32,0.319,2009-01-23,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.31,0.339,2009-01-26,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.329,0.3,2009-01-27,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.32,0.31,2009-01-28,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.31,0.32,2009-01-29,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3119,0.33,2009-01-30,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.31,0.3,2009-02-02,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.316,0.3,2009-02-03,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.32,0.32,2009-02-04,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.32,0.32,2009-02-05,ASTC,ASTROTECH CORP,3761.0,226.0
04648430,0.3151,0.33,2009-02-06,ASTC,ASTROTECH CORP,3761.0,226.0
