cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
04643310,8.94,8.87,2009-01-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.387,8.95,2009-01-05,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.45,8.9,2009-01-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.2,8.64,2009-01-07,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.97,8.02,2009-01-08,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.722,7.98,2009-01-09,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.52,7.73,2009-01-12,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.48,7.5,2009-01-13,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.24,7.46,2009-01-14,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.19,7.24,2009-01-15,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.05,7.01,2009-01-16,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.85,7.1,2009-01-20,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.085,6.78,2009-01-21,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.97,7.14,2009-01-22,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.98,6.9,2009-01-23,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.09,7.0,2009-01-26,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.18,7.22,2009-01-27,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.17,7.1,2009-01-28,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.18,7.14,2009-01-29,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.55,7.26,2009-01-30,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.4,7.45,2009-02-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.11,7.58,2009-02-03,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.32,7.26,2009-02-04,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.52,7.13,2009-02-05,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.35,7.6,2009-02-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.347,7.62,2009-02-09,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.105,7.17,2009-02-10,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.18,7.12,2009-02-11,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.99,7.89,2009-02-12,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.42,9.03,2009-02-13,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.28,9.53,2009-02-17,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.9,9.1,2009-02-18,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.0,9.01,2009-02-19,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.4,9.06,2009-02-20,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.72,8.7,2009-02-23,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.749,8.73,2009-02-24,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.1501,8.58,2009-02-25,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.1,8.15,2009-02-26,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.16,7.73,2009-02-27,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.92,8.15,2009-03-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.64,7.85,2009-03-03,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.72,7.7,2009-03-04,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.4,7.7,2009-03-05,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.3,7.4,2009-03-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.82,7.13,2009-03-09,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.95,6.9,2009-03-10,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,6.87,7.0,2009-03-11,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.1,6.75,2009-03-12,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.47,7.34,2009-03-13,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.57,7.35,2009-03-16,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.36,7.72,2009-03-17,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.619,8.46,2009-03-18,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.14,8.99,2009-03-19,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.6,9.33,2009-03-20,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.1821,9.6,2009-03-23,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.8901,10.28,2009-03-24,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.2,10.69,2009-03-25,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.25,11.0,2009-03-26,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.05,10.96,2009-03-27,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.43,10.744,2009-03-30,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.0,10.74,2009-03-31,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.15,10.56,2009-04-01,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.03,10.7601,2009-04-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.75,10.84,2009-04-03,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.35,10.68,2009-04-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.52,10.369,2009-04-07,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.5301,10.7702,2009-04-08,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.95,10.7,2009-04-09,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.71,10.31,2009-04-13,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.57,10.84,2009-04-14,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.1,10.31,2009-04-15,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.48,11.25,2009-04-16,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.47,11.5,2009-04-17,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.35,11.48,2009-04-20,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.2701,11.45,2009-04-21,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.447,11.32,2009-04-22,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.4,11.38,2009-04-23,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.65,11.45,2009-04-24,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.62,10.26,2009-04-27,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.62,10.6,2009-04-28,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,11.0,10.55,2009-04-29,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.93,11.19,2009-04-30,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.89,10.78,2009-05-01,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.89,10.16,2009-05-04,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.38,9.42,2009-05-05,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.3,9.5,2009-05-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.46,9.42,2009-05-07,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.1,8.74,2009-05-08,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.2,9.42,2009-05-11,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.22,9.46,2009-05-12,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.632,9.15,2009-05-13,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.9,8.28,2009-05-14,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,7.99,8.18,2009-05-15,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.55,7.86,2009-05-18,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.4399,8.27,2009-05-19,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.6,8.62,2009-05-20,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.58,8.66,2009-05-21,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.8,8.59,2009-05-22,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,8.94,8.8,2009-05-26,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.11,9.09,2009-05-27,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.27,9.33,2009-05-28,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.5,9.25,2009-05-29,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.55,9.43,2009-06-01,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.77,9.37,2009-06-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.84,9.54,2009-06-03,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.62,9.65,2009-06-04,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.69,10.5,2009-06-05,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.73,10.4,2009-06-08,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.61,10.73,2009-06-09,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.39,10.44,2009-06-10,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.45,9.98,2009-06-11,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.01,10.29,2009-06-12,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.45,10.01,2009-06-15,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.34,9.47,2009-06-16,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.0,9.13,2009-06-17,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.4,9.84,2009-06-18,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.53,10.28,2009-06-19,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.6,10.22,2009-06-22,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.33,10.58,2009-06-23,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.75,10.44,2009-06-24,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.1,9.89,2009-06-25,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.69,10.24,2009-06-26,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.54,10.54,2009-06-29,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.39,10.59,2009-06-30,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.37,10.51,2009-07-01,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,9.89,10.4,2009-07-02,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.23,9.88,2009-07-06,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.11,10.28,2009-07-07,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.17,10.18,2009-07-08,ATRO,ASTRONICS CORP,2650.0,226.0
04643310,10.04,10.23,2009-07-09,ATRO,ASTRONICS CORP,2650.0,226.0
