cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
00807310,38.26,37.33,2009-01-02,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.38,39.22,2009-01-05,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.78,39.44,2009-01-06,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,36.75,37.84,2009-01-07,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,36.89,36.46,2009-01-08,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.65,36.91,2009-01-09,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.61,35.88,2009-01-12,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.95,35.31,2009-01-13,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,34.24,35.5,2009-01-14,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.2,36.01,2009-01-15,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.24,37.78,2009-01-16,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.31,38.36,2009-01-20,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.85,39.0,2009-01-21,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.35,39.49,2009-01-22,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.37,40.5,2009-01-23,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.45,40.0,2009-01-26,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.22,38.65,2009-01-27,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.2,39.0,2009-01-28,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.36,38.2,2009-01-29,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.06,37.54,2009-01-30,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.18,37.35,2009-02-02,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,36.09,37.92,2009-02-03,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,36.25,36.86,2009-02-04,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.84,36.26,2009-02-05,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.2,39.0,2009-02-06,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.71,39.29,2009-02-09,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.68,38.7,2009-02-10,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.11,37.68,2009-02-11,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,39.13,37.73,2009-02-12,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,40.03,39.23,2009-02-13,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.57,39.0,2009-02-17,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,38.89,38.58,2009-02-18,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.59,39.32,2009-02-19,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,37.25,37.11,2009-02-20,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.25,37.55,2009-02-23,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.34,35.17,2009-02-24,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,35.12,35.0,2009-02-25,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,33.9,35.43,2009-02-26,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,31.22,33.15,2009-02-27,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,30.38,30.41,2009-03-02,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,30.52,30.09,2009-03-03,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,33.34,31.0,2009-03-04,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,32.21,33.32,2009-03-05,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,31.78,32.36,2009-03-06,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,30.58,31.46,2009-03-09,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,20.3,19.35,2009-03-10,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,19.62,20.06,2009-03-11,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,21.14,19.5,2009-03-12,AVAV,AEROVIRONMENT INC,3721.0,158.0
00807310,20.57,21.04,2009-03-13,AVAV,AEROVIRONMENT INC,3721.0,158.0
