cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G2519Y10,50.63,50.16,2009-01-02,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,51.99,50.91,2009-01-05,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,53.02,52.68,2009-01-06,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,51.6,52.48,2009-01-07,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,50.85,51.46,2009-01-08,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,49.76,50.73,2009-01-09,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,49.7,49.5,2009-01-12,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,49.43,48.7,2009-01-13,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,46.56,48.22,2009-01-14,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,45.88,46.93,2009-01-15,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,45.15,46.7,2009-01-16,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,43.38,45.15,2009-01-20,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,45.34,43.38,2009-01-21,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,44.46,44.03,2009-01-22,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,43.55,43.2,2009-01-23,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,42.77,43.89,2009-01-26,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,42.82,43.12,2009-01-27,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,44.18,43.82,2009-01-28,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,43.05,43.6,2009-01-29,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,41.3,43.26,2009-01-30,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,40.08,40.35,2009-02-02,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,39.78,40.05,2009-02-03,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,38.15,39.9,2009-02-04,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,37.61,38.03,2009-02-05,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,39.0,37.51,2009-02-06,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,40.03,39.08,2009-02-09,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,38.86,40.03,2009-02-10,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,40.11,38.83,2009-02-11,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,40.89,39.48,2009-02-12,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,40.0,40.95,2009-02-13,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,37.69,39.4,2009-02-17,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,37.53,37.77,2009-02-18,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,37.5,37.7,2009-02-19,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,36.68,36.94,2009-02-20,BAP,CREDICORP LTD,6029.0,340.0
G2519Y10,36.82,37.5,2009-02-23,BAP,CREDICORP LTD,6029.0,340.0
