cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
08468010,31.15,30.92,2009-01-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,30.73,31.14,2009-01-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,29.24,30.71,2009-01-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,27.3,28.61,2009-01-07,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,27.0,27.0,2009-01-08,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.02,27.0,2009-01-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.5,26.11,2009-01-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.8,25.5,2009-01-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.71,26.17,2009-01-14,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,27.42,25.77,2009-01-15,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,27.49,27.44,2009-01-16,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.26,27.05,2009-01-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.46,25.52,2009-01-21,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.31,25.88,2009-01-22,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.31,24.75,2009-01-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.06,26.37,2009-01-26,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.69,26.22,2009-01-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.75,25.49,2009-01-28,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.75,24.4,2009-01-29,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.52,23.91,2009-01-30,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.13,23.33,2009-02-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.12,24.25,2009-02-03,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.81,24.0,2009-02-04,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.05,23.72,2009-02-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.37,24.0,2009-02-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.07,24.2,2009-02-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.55,24.84,2009-02-10,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.94,24.24,2009-02-11,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.65,23.65,2009-02-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.71,23.74,2009-02-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.29,23.56,2009-02-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.1,23.51,2009-02-18,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.01,23.2,2009-02-19,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.69,21.65,2009-02-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.41,21.75,2009-02-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.74,21.43,2009-02-24,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.22,21.64,2009-02-25,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.24,21.25,2009-02-26,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.06,20.87,2009-02-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.18,20.8,2009-03-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.1,21.47,2009-03-03,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.42,21.4,2009-03-04,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.14,20.44,2009-03-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,19.5,20.3,2009-03-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,19.0,19.36,2009-03-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.22,19.01,2009-03-10,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.96,21.38,2009-03-11,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.29,20.92,2009-03-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.05,23.25,2009-03-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.39,22.78,2009-03-16,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.06,21.44,2009-03-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.26,23.01,2009-03-18,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.73,24.6,2009-03-19,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.93,23.97,2009-03-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.76,24.49,2009-03-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.38,24.34,2009-03-24,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.41,22.63,2009-03-25,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.49,23.41,2009-03-26,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.19,23.98,2009-03-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.16,22.67,2009-03-30,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.92,22.38,2009-03-31,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.27,22.59,2009-04-01,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.38,23.86,2009-04-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.58,24.25,2009-04-03,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.9,24.0,2009-04-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.48,23.65,2009-04-07,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.47,23.71,2009-04-08,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.17,24.87,2009-04-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.0,25.78,2009-04-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.3,25.49,2009-04-14,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,25.67,24.12,2009-04-15,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.76,25.34,2009-04-16,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,26.28,26.91,2009-04-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.02,25.65,2009-04-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.45,24.0,2009-04-21,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.17,24.01,2009-04-22,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.52,23.26,2009-04-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.29,22.85,2009-04-24,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.61,22.91,2009-04-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.73,22.46,2009-04-28,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.45,22.94,2009-04-29,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.56,23.72,2009-04-30,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.35,22.57,2009-05-01,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.3101,22.67,2009-05-04,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.9,23.04,2009-05-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.05,23.08,2009-05-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.05,23.26,2009-05-07,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.11,23.32,2009-05-08,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.35,23.16,2009-05-11,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.6,22.0,2009-05-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.4,21.5,2009-05-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.53,21.43,2009-05-14,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.51,21.65,2009-05-15,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.55,21.72,2009-05-18,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.51,21.59,2009-05-19,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.51,21.69,2009-05-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.52,21.5,2009-05-21,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.39,21.59,2009-05-22,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.63,21.38,2009-05-26,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.4,21.54,2009-05-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.5,21.5,2009-05-28,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.41,21.55,2009-05-29,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.6,21.83,2009-06-01,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.58,21.56,2009-06-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.54,21.55,2009-06-03,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.65,21.7,2009-06-04,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.74,21.84,2009-06-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.64,21.75,2009-06-08,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.55,21.69,2009-06-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.47,21.66,2009-06-10,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.51,21.55,2009-06-11,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.57,21.49,2009-06-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.86,21.3,2009-06-15,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.41,21.07,2009-06-16,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.17,20.47,2009-06-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,19.9,20.13,2009-06-18,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.07,20.35,2009-06-19,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.19,20.01,2009-06-22,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.17,20.41,2009-06-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.25,20.41,2009-06-24,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.02,20.26,2009-06-25,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.06,21.0,2009-06-26,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.51,21.9,2009-06-29,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.78,21.54,2009-06-30,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.35,21.565,2009-07-01,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.6,21.09,2009-07-02,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.76,20.58,2009-07-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.69,20.82,2009-07-07,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.33,20.84,2009-07-08,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.26,20.44,2009-07-09,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,20.49,20.25,2009-07-10,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.34,20.51,2009-07-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.05,21.26,2009-07-14,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.82,21.26,2009-07-15,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.04,21.65,2009-07-16,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.94,22.11,2009-07-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.95,22.03,2009-07-20,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.49,21.95,2009-07-21,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.53,21.33,2009-07-22,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,21.97,21.45,2009-07-23,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.4,21.52,2009-07-24,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.84,22.5,2009-07-27,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.69,22.75,2009-07-28,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.66,22.5,2009-07-29,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.98,22.95,2009-07-30,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.86,22.82,2009-07-31,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.01,23.04,2009-08-03,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.73,23.01,2009-08-04,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.12,23.6,2009-08-05,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.43,23.15,2009-08-06,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.09,23.8,2009-08-07,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.61,23.88,2009-08-10,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,24.28,24.42,2009-08-11,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.98,24.32,2009-08-12,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,23.75,24.18,2009-08-13,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.9,23.79,2009-08-14,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.24,22.61,2009-08-17,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
08468010,22.28,22.32,2009-08-18,BHLB,BERKSHIRE HILLS BANCORP INC,6022.0,270.0
