cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
09247F20,5.96,5.84,2009-01-02,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.14,5.95,2009-01-05,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.11,6.12,2009-01-06,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.03,6.1,2009-01-07,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.14,6.03,2009-01-08,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.16,6.14,2009-01-09,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.1,6.12,2009-01-12,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.01,6.03,2009-01-13,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.02,5.91,2009-01-14,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.02,6.04,2009-01-15,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.05,6.08,2009-01-16,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.01,6.06,2009-01-20,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.01,5.98,2009-01-21,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.02,5.98,2009-01-22,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.06,5.96,2009-01-23,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.07,6.03,2009-01-26,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.13,6.04,2009-01-27,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.15,6.14,2009-01-28,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.12,6.14,2009-01-29,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.15,6.13,2009-01-30,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.21,6.14,2009-02-02,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.15,6.17,2009-02-03,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.14,6.14,2009-02-04,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.13,6.15,2009-02-05,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.11,6.13,2009-02-06,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.13,6.12,2009-02-09,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.17,6.11,2009-02-10,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.14,6.14,2009-02-11,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.14,6.12,2009-02-12,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.07,6.13,2009-02-13,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.07,6.02,2009-02-17,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.11,6.08,2009-02-18,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.0801,6.12,2009-02-19,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.93,6.09,2009-02-20,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.78,5.85,2009-02-23,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,6.03,5.83,2009-02-24,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.91,5.96,2009-02-25,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.89,5.91,2009-02-26,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.92,5.86,2009-02-27,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.96,5.86,2009-03-02,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
09247F20,5.84,5.7,2009-03-03,BKT,BLACKROCK INCOME TRUST INC,6726.0,389.0
