cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
73317470,5.19,5.15,2009-01-02,BPOP,POPULAR INC,6022.0,307.0
73317470,5.2,5.24,2009-01-05,BPOP,POPULAR INC,6022.0,307.0
73317470,5.52,5.24,2009-01-06,BPOP,POPULAR INC,6022.0,307.0
73317470,5.31,5.41,2009-01-07,BPOP,POPULAR INC,6022.0,307.0
73317470,5.51,5.34,2009-01-08,BPOP,POPULAR INC,6022.0,307.0
73317470,5.18,5.47,2009-01-09,BPOP,POPULAR INC,6022.0,307.0
73317470,5.07,5.2,2009-01-12,BPOP,POPULAR INC,6022.0,307.0
73317470,5.15,5.06,2009-01-13,BPOP,POPULAR INC,6022.0,307.0
73317470,5.0,5.07,2009-01-14,BPOP,POPULAR INC,6022.0,307.0
73317470,4.89,5.04,2009-01-15,BPOP,POPULAR INC,6022.0,307.0
73317470,4.94,5.02,2009-01-16,BPOP,POPULAR INC,6022.0,307.0
73317470,4.45,4.91,2009-01-20,BPOP,POPULAR INC,6022.0,307.0
73317470,4.98,4.26,2009-01-21,BPOP,POPULAR INC,6022.0,307.0
73317470,2.46,4.43,2009-01-22,BPOP,POPULAR INC,6022.0,307.0
73317470,3.13,3.49,2009-01-23,BPOP,POPULAR INC,6022.0,307.0
73317470,3.05,3.12,2009-01-26,BPOP,POPULAR INC,6022.0,307.0
73317470,3.02,3.06,2009-01-27,BPOP,POPULAR INC,6022.0,307.0
73317470,3.15,3.12,2009-01-28,BPOP,POPULAR INC,6022.0,307.0
73317470,2.93,3.12,2009-01-29,BPOP,POPULAR INC,6022.0,307.0
73317470,2.74,2.87,2009-01-30,BPOP,POPULAR INC,6022.0,307.0
73317470,2.65,2.7,2009-02-02,BPOP,POPULAR INC,6022.0,307.0
73317470,2.49,2.73,2009-02-03,BPOP,POPULAR INC,6022.0,307.0
73317470,2.27,2.5,2009-02-04,BPOP,POPULAR INC,6022.0,307.0
73317470,2.29,2.27,2009-02-05,BPOP,POPULAR INC,6022.0,307.0
