cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
14912310,46.91,44.91,2009-01-02,CAT,CATERPILLAR INC,3531.0,492.0
14912310,46.08,46.9,2009-01-05,CAT,CATERPILLAR INC,3531.0,492.0
14912310,45.8,46.79,2009-01-06,CAT,CATERPILLAR INC,3531.0,492.0
14912310,43.67,45.22,2009-01-07,CAT,CATERPILLAR INC,3531.0,492.0
14912310,44.02,42.93,2009-01-08,CAT,CATERPILLAR INC,3531.0,492.0
14912310,43.2,43.91,2009-01-09,CAT,CATERPILLAR INC,3531.0,492.0
14912310,41.19,43.0,2009-01-12,CAT,CATERPILLAR INC,3531.0,492.0
14912310,41.4,41.11,2009-01-13,CAT,CATERPILLAR INC,3531.0,492.0
14912310,39.35,40.0,2009-01-14,CAT,CATERPILLAR INC,3531.0,492.0
14912310,39.39,39.16,2009-01-15,CAT,CATERPILLAR INC,3531.0,492.0
14912310,39.55,40.59,2009-01-16,CAT,CATERPILLAR INC,3531.0,492.0
14912310,38.32,39.15,2009-01-20,CAT,CATERPILLAR INC,3531.0,492.0
14912310,39.55,39.27,2009-01-21,CAT,CATERPILLAR INC,3531.0,492.0
14912310,37.23,38.89,2009-01-22,CAT,CATERPILLAR INC,3531.0,492.0
14912310,35.66,35.99,2009-01-23,CAT,CATERPILLAR INC,3531.0,492.0
14912310,32.67,33.6,2009-01-26,CAT,CATERPILLAR INC,3531.0,492.0
14912310,32.32,33.24,2009-01-27,CAT,CATERPILLAR INC,3531.0,492.0
14912310,33.0,33.26,2009-01-28,CAT,CATERPILLAR INC,3531.0,492.0
14912310,31.85,32.61,2009-01-29,CAT,CATERPILLAR INC,3531.0,492.0
14912310,30.85,31.58,2009-01-30,CAT,CATERPILLAR INC,3531.0,492.0
14912310,30.29,30.1,2009-02-02,CAT,CATERPILLAR INC,3531.0,492.0
14912310,29.99,29.81,2009-02-03,CAT,CATERPILLAR INC,3531.0,492.0
14912310,30.6,30.44,2009-02-04,CAT,CATERPILLAR INC,3531.0,492.0
14912310,31.61,30.35,2009-02-05,CAT,CATERPILLAR INC,3531.0,492.0
14912310,33.28,32.38,2009-02-06,CAT,CATERPILLAR INC,3531.0,492.0
14912310,32.72,33.47,2009-02-09,CAT,CATERPILLAR INC,3531.0,492.0
14912310,30.92,32.86,2009-02-10,CAT,CATERPILLAR INC,3531.0,492.0
14912310,31.13,31.35,2009-02-11,CAT,CATERPILLAR INC,3531.0,492.0
14912310,31.02,30.75,2009-02-12,CAT,CATERPILLAR INC,3531.0,492.0
14912310,30.94,31.41,2009-02-13,CAT,CATERPILLAR INC,3531.0,492.0
14912310,28.98,30.3,2009-02-17,CAT,CATERPILLAR INC,3531.0,492.0
14912310,28.44,29.16,2009-02-18,CAT,CATERPILLAR INC,3531.0,492.0
14912310,27.02,28.95,2009-02-19,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.66,26.14,2009-02-20,CAT,CATERPILLAR INC,3531.0,492.0
14912310,25.12,27.26,2009-02-23,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.04,25.25,2009-02-24,CAT,CATERPILLAR INC,3531.0,492.0
14912310,25.03,26.04,2009-02-25,CAT,CATERPILLAR INC,3531.0,492.0
14912310,24.23,25.4,2009-02-26,CAT,CATERPILLAR INC,3531.0,492.0
14912310,24.61,23.75,2009-02-27,CAT,CATERPILLAR INC,3531.0,492.0
14912310,22.17,24.07,2009-03-02,CAT,CATERPILLAR INC,3531.0,492.0
14912310,22.47,22.65,2009-03-03,CAT,CATERPILLAR INC,3531.0,492.0
14912310,25.44,23.81,2009-03-04,CAT,CATERPILLAR INC,3531.0,492.0
14912310,23.49,24.7,2009-03-05,CAT,CATERPILLAR INC,3531.0,492.0
14912310,23.23,23.9,2009-03-06,CAT,CATERPILLAR INC,3531.0,492.0
14912310,23.92,22.88,2009-03-09,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.51,24.76,2009-03-10,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.31,26.97,2009-03-11,CAT,CATERPILLAR INC,3531.0,492.0
14912310,27.02,26.21,2009-03-12,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.78,27.44,2009-03-13,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.42,27.07,2009-03-16,CAT,CATERPILLAR INC,3531.0,492.0
14912310,26.83,26.51,2009-03-17,CAT,CATERPILLAR INC,3531.0,492.0
