cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
16934Q20,3.36,3.45,2009-01-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.54,3.35,2009-01-05,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.6,3.58,2009-01-06,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.6,3.5,2009-01-07,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.58,3.56,2009-01-08,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.22,3.59,2009-01-09,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.05,3.22,2009-01-12,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.45,3.05,2009-01-13,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.11,3.36,2009-01-14,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.29,3.12,2009-01-15,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.39,3.27,2009-01-16,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.94,3.3,2009-01-20,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.35,3.01,2009-01-21,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.12,3.2,2009-01-22,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.34,3.01,2009-01-23,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.5,3.34,2009-01-26,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.3,3.5,2009-01-27,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.39,2009-01-28,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.46,3.45,2009-01-29,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.3,3.43,2009-01-30,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.3,3.24,2009-02-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.33,3.33,2009-02-03,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.25,3.33,2009-02-04,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.11,3.22,2009-02-05,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.21,3.1,2009-02-06,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.2,3.18,2009-02-09,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.0,3.18,2009-02-10,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.1,3.03,2009-02-11,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.12,3.04,2009-02-12,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.1,3.11,2009-02-13,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.99,2.96,2009-02-17,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.75,3.04,2009-02-18,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.98,2.89,2009-02-19,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.9,2.9,2009-02-20,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.84,2.95,2009-02-23,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.98,2.96,2009-02-24,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.97,2.96,2009-02-25,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.87,3.0,2009-02-26,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.99,2.81,2009-02-27,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.81,2.89,2009-03-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.75,2.88,2009-03-03,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.82,2.82,2009-03-04,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.49,2.97,2009-03-05,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.5,2.5,2009-03-06,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.51,2.45,2009-03-09,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.63,2.62,2009-03-10,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.88,2.63,2009-03-11,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.99,2.87,2009-03-12,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.01,3.0,2009-03-13,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.65,3.0,2009-03-16,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.62,2.66,2009-03-17,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.9,2.61,2009-03-18,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.9,2.98,2009-03-19,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,2.61,2.95,2009-03-20,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.15,2.84,2009-03-23,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.35,3.09,2009-03-24,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.37,3.41,2009-03-25,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.43,2009-03-26,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.28,3.51,2009-03-27,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.06,3.17,2009-03-30,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.36,3.11,2009-03-31,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.45,3.27,2009-04-01,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.62,3.5,2009-04-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.65,3.62,2009-04-03,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.29,3.6,2009-04-06,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.13,3.17,2009-04-07,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.18,3.18,2009-04-08,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.51,3.29,2009-04-09,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.32,3.46,2009-04-13,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.28,3.26,2009-04-14,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.25,3.19,2009-04-15,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.35,3.06,2009-04-16,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.4,3.28,2009-04-17,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.23,3.28,2009-04-20,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.25,3.15,2009-04-21,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.27,3.19,2009-04-22,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.47,3.26,2009-04-23,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.6,3.49,2009-04-24,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.44,3.565,2009-04-27,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.5,3.39,2009-04-28,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.59,3.53,2009-04-29,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.53,3.6,2009-04-30,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.44,3.53,2009-05-01,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.72,3.55,2009-05-04,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.78,3.75,2009-05-05,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.76,3.84,2009-05-06,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.45,3.83,2009-05-07,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.75,3.49,2009-05-08,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.56,3.66,2009-05-11,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.56,3.58,2009-05-12,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.46,3.49,2009-05-13,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.57,3.47,2009-05-14,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.57,3.59,2009-05-15,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.73,3.62,2009-05-18,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.71,3.78,2009-05-19,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.67,3.76,2009-05-20,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.72,3.59,2009-05-21,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.61,3.74,2009-05-22,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.42,3.35,2009-05-26,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.39,3.38,2009-05-27,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.32,3.27,2009-05-28,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.33,2009-05-29,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.5,3.56,2009-06-01,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.49,2009-06-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.5,3.49,2009-06-03,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.5,3.53,2009-06-04,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.37,3.53,2009-06-05,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.36,3.35,2009-06-08,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.51,3.37,2009-06-09,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.4,3.49,2009-06-10,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.26,3.49,2009-06-11,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.28,3.34,2009-06-12,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.27,3.28,2009-06-15,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.27,3.29,2009-06-16,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.24,3.25,2009-06-17,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.14,3.23,2009-06-18,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.04,3.19,2009-06-19,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.1,3.08,2009-06-22,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.2,3.12,2009-06-23,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.28,3.2,2009-06-24,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.4,3.26,2009-06-25,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.3,3.39,2009-06-26,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.39,3.33,2009-06-29,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.4,2009-06-30,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.49,3.5,2009-07-01,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
16934Q20,3.22,3.48,2009-07-02,CIM,CHIMERA INVESTMENT CORP,6798.0,199.0
