cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
19933310,14.49,13.86,2009-01-02,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,15.37,14.45,2009-01-05,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,15.64,15.51,2009-01-06,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,14.12,15.39,2009-01-07,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,14.06,13.99,2009-01-08,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.72,14.02,2009-01-09,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.14,13.68,2009-01-12,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.29,13.15,2009-01-13,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.35,13.04,2009-01-14,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.04,12.3,2009-01-15,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.85,13.16,2009-01-16,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.47,12.6,2009-01-20,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.72,11.63,2009-01-21,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.16,13.23,2009-01-22,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.66,12.83,2009-01-23,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.54,12.65,2009-01-26,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.48,13.56,2009-01-27,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,14.06,13.71,2009-01-28,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.09,13.95,2009-01-29,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.72,13.21,2009-01-30,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.56,12.47,2009-02-02,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.5,12.6,2009-02-03,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.1,12.49,2009-02-04,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.35,12.03,2009-02-05,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.47,12.3,2009-02-06,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.41,12.35,2009-02-09,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.47,12.28,2009-02-10,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.44,11.51,2009-02-11,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.38,11.25,2009-02-12,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.97,11.28,2009-02-13,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.3,10.57,2009-02-17,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.08,10.48,2009-02-18,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.81,10.26,2009-02-19,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.5,9.74,2009-02-20,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.69,9.65,2009-02-23,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.52,8.8,2009-02-24,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.94,9.42,2009-02-25,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.84,8.98,2009-02-26,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.77,8.7,2009-02-27,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.77,8.59,2009-03-02,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.42,7.9,2009-03-03,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.97,7.61,2009-03-04,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.02,7.73,2009-03-05,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.1,7.14,2009-03-06,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.28,6.99,2009-03-09,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.84,7.48,2009-03-10,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,7.43,7.89,2009-03-11,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.53,7.41,2009-03-12,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.76,8.57,2009-03-13,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.34,8.84,2009-03-16,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.87,8.31,2009-03-17,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.82,8.85,2009-03-18,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.01,9.92,2009-03-19,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.78,9.12,2009-03-20,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.07,9.12,2009-03-23,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.2,9.86,2009-03-24,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.69,9.32,2009-03-25,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.01,9.85,2009-03-26,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.07,9.75,2009-03-27,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.82,8.85,2009-03-30,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.72,8.91,2009-03-31,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,8.74,8.51,2009-04-01,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.55,9.06,2009-04-02,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.13,9.6,2009-04-03,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.12,10.02,2009-04-06,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.37,9.89,2009-04-07,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.09,9.43,2009-04-08,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.64,10.21,2009-04-09,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.63,10.45,2009-04-13,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.35,10.39,2009-04-14,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.88,10.31,2009-04-15,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.84,11.03,2009-04-16,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.77,10.88,2009-04-17,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,9.42,10.45,2009-04-20,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.76,9.35,2009-04-21,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.94,10.52,2009-04-22,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,10.52,10.99,2009-04-23,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.57,10.62,2009-04-24,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.17,11.25,2009-04-27,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,11.84,11.05,2009-04-28,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.98,12.0,2009-04-29,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.96,13.16,2009-04-30,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.55,12.92,2009-05-01,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,14.03,13.67,2009-05-04,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.24,13.87,2009-05-05,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.34,13.5,2009-05-06,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.29,13.54,2009-05-07,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.97,13.46,2009-05-08,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,14.59,13.69,2009-05-11,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,13.9,14.62,2009-05-12,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.5,13.64,2009-05-13,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
19933310,12.83,12.64,2009-05-14,CMCO,COLUMBUS MCKINNON CORP NY,3530.0,223.0
