cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
74347G70,31.55,29.33,2009-01-02,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,32.69,31.51,2009-01-05,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,33.33,33.73,2009-01-06,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,30.664,32.16,2009-01-07,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,31.19,30.02,2009-01-08,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,29.52,31.38,2009-01-09,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.57,28.51,2009-01-12,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,28.6,27.37,2009-01-13,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.14,27.96,2009-01-14,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.78,25.94,2009-01-15,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.26,27.74,2009-01-16,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,24.5,26.0,2009-01-20,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.75,25.22,2009-01-21,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.36,26.46,2009-01-22,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.52,25.06,2009-01-23,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,28.42,27.89,2009-01-26,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,28.5,28.31,2009-01-27,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,29.646,29.21,2009-01-28,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.6,28.39,2009-01-29,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.96,28.49,2009-01-30,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.51,26.4,2009-02-02,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.22,26.76,2009-02-03,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.69,27.7,2009-02-04,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,29.02,27.32,2009-02-05,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,30.04,28.48,2009-02-06,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,30.08,30.2,2009-02-09,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,27.54,30.56,2009-02-10,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.9,27.97,2009-02-11,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.79,26.14,2009-02-12,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,26.75,26.61,2009-02-13,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,23.42,25.38,2009-02-17,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,23.3,23.95,2009-02-18,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,23.54,24.06,2009-02-19,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,22.393,22.6,2009-02-20,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,20.43,23.13,2009-02-23,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,22.26,20.73,2009-02-24,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,22.04,22.46,2009-02-25,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,21.9,22.94,2009-02-26,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,20.85,21.16,2009-02-27,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,17.91,20.0,2009-03-02,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,18.1,18.44,2009-03-03,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,19.51,19.22,2009-03-04,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,17.75,18.88,2009-03-05,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,18.18,18.34,2009-03-06,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,18.32,17.74,2009-03-09,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,20.05,19.27,2009-03-10,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,19.82,20.27,2009-03-11,DIG,PROSHARES TRUST,6726.0,209.0
74347G70,20.89,20.02,2009-03-12,DIG,PROSHARES TRUST,6726.0,209.0
