cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
25490K28,59.73,53.51,2009-01-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,61.5585,60.96,2009-01-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,66.126,64.77,2009-01-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,54.76,60.41,2009-01-07,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,54.41,52.97,2009-01-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,50.91,53.18,2009-01-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,43.58,49.28,2009-01-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,44.42,43.45,2009-01-13,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,38.12,42.65,2009-01-14,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,39.42,38.86,2009-01-15,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,41.044,43.5,2009-01-16,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,33.48,38.01,2009-01-20,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,37.144,33.52,2009-01-21,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,33.69,30.33,2009-01-22,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,35.0,30.53,2009-01-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,35.81,36.07,2009-01-26,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,37.25,37.53,2009-01-27,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,43.33,41.37,2009-01-28,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,37.5,38.88,2009-01-29,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,36.0501,36.89,2009-01-30,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,35.4,35.0,2009-02-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,38.21,36.15,2009-02-03,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,39.3,39.49,2009-02-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,41.96,39.69,2009-02-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,48.14,44.09,2009-02-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,47.59,48.35,2009-02-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,40.33,46.44,2009-02-10,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,42.03,42.38,2009-02-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,41.774,39.51,2009-02-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,42.2,42.18,2009-02-13,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,32.788,38.5,2009-02-17,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,33.2001,34.31,2009-02-18,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,32.5899,35.03,2009-02-19,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,30.12,29.59,2009-02-20,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,27.4,32.73,2009-02-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,32.12,28.47,2009-02-24,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,30.3601,31.12,2009-02-25,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,29.7999,31.65,2009-02-26,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,30.0,27.99,2009-02-27,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,23.21,26.11,2009-03-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,24.5,25.0,2009-03-03,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,29.2,27.74,2009-03-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,26.378,26.62,2009-03-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,27.1399,27.53,2009-03-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,25.57,26.12,2009-03-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,31.5,28.48,2009-03-10,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,31.62,32.51,2009-03-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,34.91,31.0,2009-03-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,35.49,35.87,2009-03-13,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,35.65,37.16,2009-03-16,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,38.11,35.59,2009-03-17,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,40.18,37.5,2009-03-18,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,40.03,42.02,2009-03-19,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,37.76,39.92,2009-03-20,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,48.21,43.74,2009-03-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,44.2999,44.72,2009-03-24,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,45.83,45.06,2009-03-25,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,49.72,48.61,2009-03-26,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,45.02,46.68,2009-03-27,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,37.57,39.55,2009-03-30,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,40.3999,41.25,2009-03-31,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,44.632,40.2,2009-04-01,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,51.74,50.07,2009-04-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,53.47,51.04,2009-04-03,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,51.5,52.0,2009-04-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,48.01,49.01,2009-04-07,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,49.845,49.5,2009-04-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,56.85,55.32,2009-04-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,58.75,56.56,2009-04-13,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,55.402,57.72,2009-04-14,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,57.044,55.61,2009-04-15,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,58.53,58.4,2009-04-16,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,57.87,58.85,2009-04-17,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,49.02,53.17,2009-04-20,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,52.3,48.83,2009-04-21,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,50.75,50.17,2009-04-22,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,53.6,53.16,2009-04-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,56.1,56.13,2009-04-24,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,51.2,51.94,2009-04-27,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,50.32,48.23,2009-04-28,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,58.25,54.78,2009-04-29,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,60.29,62.38,2009-04-30,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,63.11,60.89,2009-05-01,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,76.676,68.91,2009-05-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,74.14,74.88,2009-05-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,77.55,77.44,2009-05-06,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,71.61,80.94,2009-05-07,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.6201,76.72,2009-05-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,73.5,74.67,2009-05-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,74.55,77.0,2009-05-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,65.36,69.46,2009-05-13,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,68.33,64.62,2009-05-14,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,67.08,69.33,2009-05-15,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.54,74.0,2009-05-18,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.118,79.73,2009-05-19,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.81,84.3,2009-05-20,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,77.0,77.43,2009-05-21,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,79.07,77.81,2009-05-22,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.5,74.88,2009-05-26,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,79.44,83.65,2009-05-27,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,85.85,83.65,2009-05-28,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,89.5,90.08,2009-05-29,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,101.5,98.12,2009-06-01,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,97.09,98.28,2009-06-02,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,86.24,93.43,2009-06-03,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,91.55,88.27,2009-06-04,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,92.29,96.14,2009-06-05,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,88.4099,86.7,2009-06-08,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,89.1899,89.58,2009-06-09,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,91.5001,94.89,2009-06-10,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,97.29,93.13,2009-06-11,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,92.63,94.2,2009-06-12,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,82.97,87.54,2009-06-15,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,78.5,83.69,2009-06-16,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,76.25,76.73,2009-06-17,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,75.06,75.41,2009-06-18,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,77.32,78.78,2009-06-19,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,68.38,74.18,2009-06-22,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,69.0507,68.57,2009-06-23,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,73.87,74.76,2009-06-24,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,80.06,72.36,2009-06-25,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,81.8883,80.58,2009-06-26,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,83.4899,84.08,2009-06-29,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
25490K28,80.9,83.49,2009-06-30,EDC,DIREXION SHARES E T F TRUST,6726.0,189.0
