cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
28176E10,55.99,54.29,2009-01-02,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,54.92,55.94,2009-01-05,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,54.78,55.02,2009-01-06,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,54.97,53.98,2009-01-07,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,55.45,54.71,2009-01-08,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,55.66,55.45,2009-01-09,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,54.89,55.66,2009-01-12,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,55.03,54.96,2009-01-13,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,55.53,54.43,2009-01-14,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,56.6,55.53,2009-01-15,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.32,57.44,2009-01-16,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,55.28,57.0,2009-01-20,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,56.92,55.65,2009-01-21,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,56.75,56.3,2009-01-22,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,56.86,56.22,2009-01-23,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.08,57.0,2009-01-26,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.97,57.44,2009-01-27,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.53,58.5,2009-01-28,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.56,57.28,2009-01-29,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.49,57.88,2009-01-30,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.32,57.06,2009-02-02,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,57.4,57.31,2009-02-03,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,60.01,57.6,2009-02-04,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,60.14,59.5,2009-02-05,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.1,59.99,2009-02-06,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.8,61.12,2009-02-09,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.1,61.29,2009-02-10,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.69,61.19,2009-02-11,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,62.09,61.02,2009-02-12,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,62.93,61.9,2009-02-13,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.73,61.74,2009-02-17,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.48,61.86,2009-02-18,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.58,61.79,2009-02-19,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,61.1,60.76,2009-02-20,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,58.15,61.53,2009-02-23,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
28176E10,60.11,58.53,2009-02-24,EW,EDWARDS LIFESCIENCES CORP,3842.0,291.0
