cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
33733F10,-18.86,,2009-01-02,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.76,18.71,2009-01-05,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.9068,18.85,2009-01-06,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.63,18.8,2009-01-07,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.36,18.34,2009-01-08,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.194,18.16,2009-01-09,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.8404,17.9304,2009-01-12,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.74,17.74,2009-01-13,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.25,17.36,2009-01-14,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.51,16.98,2009-01-15,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.83,17.83,2009-01-16,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.22,17.23,2009-01-20,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.1,17.1,2009-01-21,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.23,17.44,2009-01-22,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.24,17.24,2009-01-23,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-17.44,,2009-01-26,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.63,17.62,2009-01-27,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.95,17.98,2009-01-28,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.68,17.68,2009-01-29,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-17.285,,2009-01-30,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.31,17.2899,2009-02-02,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-17.59,,2009-02-03,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.48,17.81,2009-02-04,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.65,17.36,2009-02-05,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.07,17.63,2009-02-06,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.92,17.93,2009-02-09,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.42,18.02,2009-02-10,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.36,17.4,2009-02-11,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-17.53,,2009-02-12,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.52,17.47,2009-02-13,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.9739,16.92,2009-02-17,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.82,16.74,2009-02-18,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-16.6,,2009-02-19,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.357,16.53,2009-02-20,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.02,16.5,2009-02-23,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.13,16.08,2009-02-24,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.2501,16.25,2009-02-25,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.99,15.99,2009-02-26,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.9524,15.9524,2009-02-27,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.11,15.2296,2009-03-02,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.23,15.27,2009-03-03,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-15.315,,2009-03-04,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,14.81,15.13,2009-03-05,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,14.6,14.7,2009-03-06,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-14.555,,2009-03-09,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.13,15.1327,2009-03-10,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.24,15.25,2009-03-11,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.6601,15.6601,2009-03-12,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.0,15.88,2009-03-13,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.09,16.09,2009-03-16,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,15.84,15.84,2009-03-17,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.3101,16.21,2009-03-18,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.52,16.6,2009-03-19,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-16.145,,2009-03-20,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.07,16.6264,2009-03-23,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-16.705,,2009-03-24,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.5,17.05,2009-03-25,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.42,17.3396,2009-03-26,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.11,17.11,2009-03-27,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.71,16.76,2009-03-30,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.0899,16.83,2009-03-31,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,16.54,16.54,2009-04-01,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.66,17.34,2009-04-02,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.53,17.52,2009-04-03,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.41,17.55,2009-04-06,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.1,17.32,2009-04-07,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.336,17.23,2009-04-08,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.99,17.87,2009-04-09,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.03,17.9,2009-04-13,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.74,17.74,2009-04-14,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.584,17.68,2009-04-15,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.03,17.8,2009-04-16,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,-18.3,,2009-04-17,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.7299,17.73,2009-04-20,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.76,17.66,2009-04-21,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.3036,18.3,2009-04-22,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,17.88,17.99,2009-04-23,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.1,18.0,2009-04-24,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.1464,18.1,2009-04-27,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
33733F10,18.26,17.97,2009-04-28,FAD,FIRST TR EXCH TRD ALPHADEX FD,6726.0,120.0
