cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
31983A10,33.53,34.96,2009-01-02,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,32.12,33.6,2009-01-05,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,33.06,32.49,2009-01-06,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,30.89,32.93,2009-01-07,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,29.81,30.45,2009-01-08,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,28.22,29.87,2009-01-09,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,27.3,28.05,2009-01-12,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,26.74,27.49,2009-01-13,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,24.42,26.475,2009-01-14,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,24.43,24.37,2009-01-15,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,24.0,24.5,2009-01-16,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.71,23.62,2009-01-20,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,21.02,20.0,2009-01-21,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.2,20.66,2009-01-22,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.15,19.47,2009-01-23,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.51,19.25,2009-01-26,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.99,19.8,2009-01-27,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,20.61,20.1,2009-01-28,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,19.41,20.65,2009-01-29,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,17.21,19.56,2009-01-30,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,18.0,17.04,2009-02-02,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,17.39,18.09,2009-02-03,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,16.15,17.34,2009-02-04,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,16.44,15.85,2009-02-05,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,16.9,16.38,2009-02-06,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,16.25,16.78,2009-02-09,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,15.07,16.19,2009-02-10,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,15.57,14.87,2009-02-11,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,15.7,15.3,2009-02-12,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,14.88,15.9,2009-02-13,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,13.75,14.48,2009-02-17,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,13.4,13.81,2009-02-18,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,12.81,13.42,2009-02-19,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,11.71,12.67,2009-02-20,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,11.1,11.2,2009-02-23,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,12.67,11.1,2009-02-24,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,11.82,12.64,2009-02-25,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,12.28,11.69,2009-02-26,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,11.75,12.06,2009-02-27,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,9.35,11.75,2009-03-02,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,8.63,9.48,2009-03-03,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,9.43,8.74,2009-03-04,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,8.09,9.24,2009-03-05,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,8.28,8.16,2009-03-06,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,8.07,8.22,2009-03-09,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,9.24,8.29,2009-03-10,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,9.21,9.32,2009-03-11,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,11.23,9.19,2009-03-12,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,10.96,11.5,2009-03-13,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,10.7,11.28,2009-03-16,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,10.54,10.7,2009-03-17,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,12.35,9.56,2009-03-18,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
31983A10,12.93,12.54,2009-03-19,FCBC,FIRST COMMUNITY BANCSHARES INC,6021.0,205.0
