cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
41012010,44.22,45.56,2009-01-02,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,42.66,44.09,2009-01-05,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,43.24,43.21,2009-01-06,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,40.9,42.47,2009-01-07,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,40.53,41.38,2009-01-08,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,38.28,40.41,2009-01-09,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,37.62,38.33,2009-01-12,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,38.75,37.47,2009-01-13,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,36.44,37.93,2009-01-14,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,35.85,36.35,2009-01-15,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,36.25,36.18,2009-01-16,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,33.0,35.58,2009-01-20,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.57,29.8,2009-01-21,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.22,27.27,2009-01-22,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.54,26.35,2009-01-23,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.53,28.5,2009-01-26,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.28,27.55,2009-01-27,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.35,28.89,2009-01-28,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.07,29.66,2009-01-29,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.37,28.48,2009-01-30,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.51,27.04,2009-02-02,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.41,28.15,2009-02-03,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.97,27.33,2009-02-04,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.5,27.66,2009-02-05,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.94,28.38,2009-02-06,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.98,30.88,2009-02-09,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.46,30.85,2009-02-10,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,29.26,28.71,2009-02-11,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,29.26,28.88,2009-02-12,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.08,29.38,2009-02-13,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.93,27.5,2009-02-17,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.7,27.1,2009-02-18,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.02,27.08,2009-02-19,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.31,25.5,2009-02-20,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.41,27.34,2009-02-23,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.3,26.76,2009-02-24,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.21,28.13,2009-02-25,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.87,28.95,2009-02-26,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.36,28.44,2009-02-27,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,27.58,27.76,2009-03-02,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.08,28.04,2009-03-03,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,25.73,26.62,2009-03-04,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,24.0,25.22,2009-03-05,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,23.75,24.2,2009-03-06,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,22.95,23.3,2009-03-09,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.09,23.52,2009-03-10,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,26.02,26.29,2009-03-11,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.88,25.95,2009-03-12,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.73,29.0,2009-03-13,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,28.01,29.19,2009-03-16,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,29.96,28.07,2009-03-17,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.56,29.81,2009-03-18,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.69,31.95,2009-03-19,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.47,31.66,2009-03-20,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,34.12,31.32,2009-03-23,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,32.21,34.49,2009-03-24,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,32.67,32.35,2009-03-25,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,33.46,33.04,2009-03-26,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.61,32.84,2009-03-27,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,30.13,31.18,2009-03-30,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.28,30.64,2009-03-31,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.84,30.54,2009-04-01,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,33.24,32.57,2009-04-02,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,33.76,33.05,2009-04-03,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,32.72,33.16,2009-04-06,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.3,32.46,2009-04-07,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,31.4,31.66,2009-04-08,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,34.98,32.14,2009-04-09,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,36.22,34.59,2009-04-13,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,32.78,35.53,2009-04-14,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,33.63,32.62,2009-04-15,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,34.06,34.08,2009-04-16,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
41012010,35.49,34.18,2009-04-17,HWC,HANCOCK WHITNEY CORP,6022.0,250.0
