cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45408X30,0.97,0.92,2009-01-02,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.9699,0.97,2009-01-05,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.99,0.97,2009-01-06,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.99,0.99,2009-01-07,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.02,1.1,2009-01-08,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.05,1.05,2009-01-09,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,-1.025,,2009-01-12,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.05,1.04,2009-01-13,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.05,1.1,2009-01-14,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.99,1.0415,2009-01-15,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.99,0.94,2009-01-16,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.95,0.95,2009-01-20,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0,0.99,2009-01-21,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0199,1.0,2009-01-22,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.01,0.9801,2009-01-23,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.01,1.01,2009-01-26,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0001,1.0001,2009-01-27,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0,1.0,2009-01-28,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0,1.0,2009-01-29,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.9899,0.99,2009-01-30,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0,0.9501,2009-02-02,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,1.0,1.0,2009-02-03,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.9795,0.95,2009-02-04,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.98,0.93,2009-02-05,IGC,I G C PHARMA INC,7359.0,216.0
45408X30,0.98,0.93,2009-02-06,IGC,I G C PHARMA INC,7359.0,216.0
