cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428886,32.02,31.7,2009-01-02,IWC,ISHARES TRUST,6726.0,229.0
46428886,32.19,32.15,2009-01-05,IWC,ISHARES TRUST,6726.0,229.0
46428886,32.84,32.4,2009-01-06,IWC,ISHARES TRUST,6726.0,229.0
46428886,31.94,32.32,2009-01-07,IWC,ISHARES TRUST,6726.0,229.0
46428886,32.42,31.8,2009-01-08,IWC,ISHARES TRUST,6726.0,229.0
46428886,31.09,32.51,2009-01-09,IWC,ISHARES TRUST,6726.0,229.0
46428886,30.24,31.05,2009-01-12,IWC,ISHARES TRUST,6726.0,229.0
46428886,30.47,30.22,2009-01-13,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.1401,29.99,2009-01-14,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.67,29.22,2009-01-15,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.72,30.21,2009-01-16,IWC,ISHARES TRUST,6726.0,229.0
46428886,27.81,29.48,2009-01-20,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.1,28.1,2009-01-21,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.25,28.54,2009-01-22,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.18,27.54,2009-01-23,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.62,28.2,2009-01-26,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.89,28.77,2009-01-27,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.83,29.37,2009-01-28,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.83,29.52,2009-01-29,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.33,28.91,2009-01-30,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.83,27.92,2009-02-02,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.95,29.03,2009-02-03,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.45,29.02,2009-02-04,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.82,28.36,2009-02-05,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.7,28.84,2009-02-06,IWC,ISHARES TRUST,6726.0,229.0
46428886,29.51,29.58,2009-02-09,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.28,29.35,2009-02-10,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.35,28.32,2009-02-11,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.5,28.0,2009-02-12,IWC,ISHARES TRUST,6726.0,229.0
46428886,28.26,28.42,2009-02-13,IWC,ISHARES TRUST,6726.0,229.0
46428886,27.2,27.21,2009-02-17,IWC,ISHARES TRUST,6726.0,229.0
46428886,26.9,27.34,2009-02-18,IWC,ISHARES TRUST,6726.0,229.0
46428886,26.47,27.11,2009-02-19,IWC,ISHARES TRUST,6726.0,229.0
46428886,25.98,25.9,2009-02-20,IWC,ISHARES TRUST,6726.0,229.0
46428886,24.85,26.15,2009-02-23,IWC,ISHARES TRUST,6726.0,229.0
46428886,25.77,25.17,2009-02-24,IWC,ISHARES TRUST,6726.0,229.0
46428886,25.04,25.58,2009-02-25,IWC,ISHARES TRUST,6726.0,229.0
46428886,24.7,25.41,2009-02-26,IWC,ISHARES TRUST,6726.0,229.0
46428886,24.5,24.47,2009-02-27,IWC,ISHARES TRUST,6726.0,229.0
46428886,23.11,23.93,2009-03-02,IWC,ISHARES TRUST,6726.0,229.0
46428886,22.58,23.6,2009-03-03,IWC,ISHARES TRUST,6726.0,229.0
46428886,23.22,23.08,2009-03-04,IWC,ISHARES TRUST,6726.0,229.0
46428886,21.8,22.87,2009-03-05,IWC,ISHARES TRUST,6726.0,229.0
46428886,22.01,22.15,2009-03-06,IWC,ISHARES TRUST,6726.0,229.0
46428886,21.57,21.82,2009-03-09,IWC,ISHARES TRUST,6726.0,229.0
46428886,22.86,22.07,2009-03-10,IWC,ISHARES TRUST,6726.0,229.0
46428886,22.84,23.07,2009-03-11,IWC,ISHARES TRUST,6726.0,229.0
46428886,24.37,22.71,2009-03-12,IWC,ISHARES TRUST,6726.0,229.0
46428886,24.7,24.62,2009-03-13,IWC,ISHARES TRUST,6726.0,229.0
