cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
52610710,33.44,32.36,2009-01-02,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,33.86,33.11,2009-01-05,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,34.5,33.8,2009-01-06,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,33.25,33.88,2009-01-07,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,33.4,33.08,2009-01-08,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,32.4,33.38,2009-01-09,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,31.17,32.36,2009-01-12,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,30.5,31.15,2009-01-13,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.16,30.66,2009-01-14,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.54,29.1,2009-01-15,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,30.46,29.91,2009-01-16,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.16,29.88,2009-01-20,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.7,28.43,2009-01-21,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,27.89,28.49,2009-01-22,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,27.79,27.28,2009-01-23,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.26,27.96,2009-01-26,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.25,28.45,2009-01-27,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,30.45,29.98,2009-01-28,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.8,29.94,2009-01-29,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.11,28.86,2009-01-30,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.25,27.71,2009-02-02,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.79,28.4,2009-02-03,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.3,29.06,2009-02-04,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.32,28.0,2009-02-05,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.84,29.33,2009-02-06,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,29.93,29.68,2009-02-09,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.5,29.68,2009-02-10,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.04,28.51,2009-02-11,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,28.09,27.27,2009-02-12,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,27.73,27.63,2009-02-13,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,27.17,27.06,2009-02-17,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.67,27.56,2009-02-18,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.36,26.88,2009-02-19,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.32,26.0,2009-02-20,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.19,26.26,2009-02-23,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.39,25.35,2009-02-24,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.55,26.85,2009-02-25,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.99,26.95,2009-02-26,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.9,25.36,2009-02-27,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,24.26,25.33,2009-03-02,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,24.14,24.7,2009-03-03,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.58,24.21,2009-03-04,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,24.09,25.12,2009-03-05,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,24.27,24.24,2009-03-06,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,23.87,23.8,2009-03-09,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.02,24.2,2009-03-10,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.13,26.23,2009-03-11,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.38,25.85,2009-03-12,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.32,26.3,2009-03-13,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.22,26.01,2009-03-16,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.14,25.01,2009-03-17,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,26.33,25.25,2009-03-18,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
52610710,25.79,26.53,2009-03-19,LII,LENNOX INTERNATIONAL INC,3621.0,301.0
