cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
84474110,8.97,8.61,2009-01-02,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.68,8.91,2009-01-05,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,9.14,8.75,2009-01-06,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.94,9.04,2009-01-07,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.99,8.92,2009-01-08,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.56,8.94,2009-01-09,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.62,8.55,2009-01-12,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.34,8.6,2009-01-13,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.99,8.27,2009-01-14,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.28,7.99,2009-01-15,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.61,8.37,2009-01-16,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.14,8.64,2009-01-20,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.38,8.26,2009-01-21,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,9.81,8.86,2009-01-22,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,8.0,9.23,2009-01-23,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.88,8.15,2009-01-26,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.33,7.94,2009-01-27,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.66,7.7,2009-01-28,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.25,7.66,2009-01-29,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.03,7.22,2009-01-30,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.75,7.08,2009-02-02,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.82,6.91,2009-02-03,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.63,6.85,2009-02-04,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.89,6.61,2009-02-05,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.33,6.96,2009-02-06,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.18,7.38,2009-02-09,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.2,7.13,2009-02-10,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.2,7.22,2009-02-11,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.33,7.21,2009-02-12,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,7.29,7.33,2009-02-13,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.95,7.05,2009-02-17,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.69,7.02,2009-02-18,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.68,6.76,2009-02-19,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.52,6.47,2009-02-20,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.45,6.59,2009-02-23,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.57,6.51,2009-02-24,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.07,6.55,2009-02-25,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.12,6.2,2009-02-26,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.89,6.03,2009-02-27,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.52,5.75,2009-03-02,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.23,5.4,2009-03-03,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.22,5.31,2009-03-04,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.01,5.13,2009-03-05,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.13,5.0,2009-03-06,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.17,5.13,2009-03-09,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.46,5.29,2009-03-10,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.45,5.54,2009-03-11,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.59,5.45,2009-03-12,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.72,5.66,2009-03-13,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.52,6.01,2009-03-16,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.82,5.53,2009-03-17,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.88,5.82,2009-03-18,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.77,6.07,2009-03-19,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.6,5.79,2009-03-20,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,6.04,5.79,2009-03-23,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
84474110,5.92,5.98,2009-03-24,LUV,SOUTHWEST AIRLINES CO,4512.0,440.0
