cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
59064R10,18.0905,18.92,2009-01-02,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.13,17.13,2009-01-05,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.15,17.3,2009-01-06,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.2,17.5,2009-01-07,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,16.64,16.64,2009-01-08,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,16.92,17.21,2009-01-09,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.0,17.54,2009-01-12,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.55,17.03,2009-01-13,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.44,17.44,2009-01-14,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.0,17.94,2009-01-15,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.5,18.25,2009-01-16,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-19.125,,2009-01-20,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.0,18.5,2009-01-21,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.0,19.0,2009-01-22,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.552,19.0,2009-01-23,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.045,18.96,2009-01-26,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.5,19.5,2009-01-27,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-19.805,,2009-01-28,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-19.95,,2009-01-29,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,20.0999,19.65,2009-01-30,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,20.19,19.66,2009-02-02,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.7001,19.71,2009-02-03,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-20.0,,2009-02-04,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.51,19.75,2009-02-05,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.95,19.9,2009-02-06,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,20.0,19.99,2009-02-09,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.95,19.95,2009-02-10,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.99,19.75,2009-02-11,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.95,19.86,2009-02-12,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.99,20.25,2009-02-13,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.79,19.79,2009-02-17,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.8,19.85,2009-02-18,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,20.25,18.25,2009-02-19,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.0,19.9899,2009-02-20,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.02,17.05,2009-02-23,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.01,17.0,2009-02-24,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.58,17.062,2009-02-25,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.2,18.2,2009-02-26,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.01,17.79,2009-02-27,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-18.125,,2009-03-02,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.58,17.91,2009-03-03,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.01,18.0,2009-03-04,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-16.965,,2009-03-05,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-17.265,,2009-03-06,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-17.225,,2009-03-09,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.0,18.0,2009-03-10,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.0,18.0,2009-03-11,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-17.39,,2009-03-12,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.25,16.9,2009-03-13,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.0,17.0,2009-03-16,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.0,17.25,2009-03-17,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.0,17.0,2009-03-18,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.25,17.3,2009-03-19,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,15.56,16.52,2009-03-20,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,14.8001,15.72,2009-03-23,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,14.675,15.01,2009-03-24,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,14.55,14.68,2009-03-25,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,15.1,14.95,2009-03-26,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,15.4,15.4,2009-03-27,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,-15.68,,2009-03-30,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,16.0,15.94,2009-03-31,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,16.6,16.6,2009-04-01,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,16.6,16.6,2009-04-02,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.17,16.71,2009-04-03,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.7,17.7,2009-04-06,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,17.4001,17.43,2009-04-07,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,18.24,17.0,2009-04-08,MLAB,MESA LABORATORIES INC,3840.0,240.0
59064R10,19.1,18.5,2009-04-09,MLAB,MESA LABORATORIES INC,3840.0,240.0
