cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
67000B10,,,2010-01-13,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-14,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-15,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-19,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-20,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-21,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-22,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-25,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-26,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-27,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-28,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-01-29,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-01,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-02,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-03,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-04,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-05,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-08,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-09,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-10,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-11,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-12,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-16,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-17,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-18,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-19,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-22,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-23,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-24,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-25,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-02-26,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-01,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-02,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-03,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-04,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-05,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-08,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-09,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-10,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-11,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-12,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-15,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-16,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-17,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-18,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-19,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-22,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-23,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-24,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-25,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-26,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-29,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-30,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-03-31,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-01,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-05,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-06,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-07,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-08,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-09,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-12,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-13,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-14,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-15,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-16,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-19,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-20,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-21,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-22,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-23,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-26,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-27,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-28,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-29,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-04-30,NOVT,NOVANTA INC,3600.0,224.0
67000B10,,,2010-05-03,NOVT,NOVANTA INC,3600.0,224.0
