cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
67034610,48.3,46.95,2009-01-02,NUE,NUCOR CORP,3441.0,443.0
67034610,47.32,47.57,2009-01-05,NUE,NUCOR CORP,3441.0,443.0
67034610,45.57,47.35,2009-01-06,NUE,NUCOR CORP,3441.0,443.0
67034610,43.73,44.23,2009-01-07,NUE,NUCOR CORP,3441.0,443.0
67034610,44.98,43.62,2009-01-08,NUE,NUCOR CORP,3441.0,443.0
67034610,43.72,45.17,2009-01-09,NUE,NUCOR CORP,3441.0,443.0
67034610,40.87,43.03,2009-01-12,NUE,NUCOR CORP,3441.0,443.0
67034610,42.21,40.55,2009-01-13,NUE,NUCOR CORP,3441.0,443.0
67034610,39.47,41.12,2009-01-14,NUE,NUCOR CORP,3441.0,443.0
67034610,40.78,39.74,2009-01-15,NUE,NUCOR CORP,3441.0,443.0
67034610,42.1,41.72,2009-01-16,NUE,NUCOR CORP,3441.0,443.0
67034610,40.05,41.0,2009-01-20,NUE,NUCOR CORP,3441.0,443.0
67034610,40.8,40.86,2009-01-21,NUE,NUCOR CORP,3441.0,443.0
67034610,39.43,40.25,2009-01-22,NUE,NUCOR CORP,3441.0,443.0
67034610,39.44,38.03,2009-01-23,NUE,NUCOR CORP,3441.0,443.0
67034610,37.46,39.35,2009-01-26,NUE,NUCOR CORP,3441.0,443.0
67034610,39.8,38.89,2009-01-27,NUE,NUCOR CORP,3441.0,443.0
67034610,44.55,41.32,2009-01-28,NUE,NUCOR CORP,3441.0,443.0
67034610,43.03,44.0,2009-01-29,NUE,NUCOR CORP,3441.0,443.0
67034610,40.79,42.01,2009-01-30,NUE,NUCOR CORP,3441.0,443.0
67034610,40.43,40.14,2009-02-02,NUE,NUCOR CORP,3441.0,443.0
67034610,42.64,40.89,2009-02-03,NUE,NUCOR CORP,3441.0,443.0
67034610,42.75,43.07,2009-02-04,NUE,NUCOR CORP,3441.0,443.0
67034610,44.25,42.55,2009-02-05,NUE,NUCOR CORP,3441.0,443.0
67034610,45.89,44.77,2009-02-06,NUE,NUCOR CORP,3441.0,443.0
67034610,45.37,46.86,2009-02-09,NUE,NUCOR CORP,3441.0,443.0
67034610,42.35,44.79,2009-02-10,NUE,NUCOR CORP,3441.0,443.0
67034610,43.07,43.23,2009-02-11,NUE,NUCOR CORP,3441.0,443.0
67034610,43.96,42.32,2009-02-12,NUE,NUCOR CORP,3441.0,443.0
67034610,43.83,43.8,2009-02-13,NUE,NUCOR CORP,3441.0,443.0
67034610,40.21,42.69,2009-02-17,NUE,NUCOR CORP,3441.0,443.0
67034610,38.69,41.18,2009-02-18,NUE,NUCOR CORP,3441.0,443.0
67034610,39.19,39.37,2009-02-19,NUE,NUCOR CORP,3441.0,443.0
67034610,39.98,38.31,2009-02-20,NUE,NUCOR CORP,3441.0,443.0
67034610,35.55,40.55,2009-02-23,NUE,NUCOR CORP,3441.0,443.0
67034610,37.75,35.73,2009-02-24,NUE,NUCOR CORP,3441.0,443.0
67034610,36.01,37.48,2009-02-25,NUE,NUCOR CORP,3441.0,443.0
67034610,35.13,36.74,2009-02-26,NUE,NUCOR CORP,3441.0,443.0
67034610,33.65,34.02,2009-02-27,NUE,NUCOR CORP,3441.0,443.0
67034610,30.74,32.59,2009-03-02,NUE,NUCOR CORP,3441.0,443.0
67034610,32.12,31.2,2009-03-03,NUE,NUCOR CORP,3441.0,443.0
67034610,34.73,33.93,2009-03-04,NUE,NUCOR CORP,3441.0,443.0
67034610,32.07,33.5,2009-03-05,NUE,NUCOR CORP,3441.0,443.0
67034610,32.34,32.54,2009-03-06,NUE,NUCOR CORP,3441.0,443.0
67034610,31.58,31.8,2009-03-09,NUE,NUCOR CORP,3441.0,443.0
67034610,36.57,33.54,2009-03-10,NUE,NUCOR CORP,3441.0,443.0
67034610,36.9,37.77,2009-03-11,NUE,NUCOR CORP,3441.0,443.0
67034610,36.96,35.24,2009-03-12,NUE,NUCOR CORP,3441.0,443.0
67034610,37.38,37.38,2009-03-13,NUE,NUCOR CORP,3441.0,443.0
67034610,36.95,37.64,2009-03-16,NUE,NUCOR CORP,3441.0,443.0
67034610,33.55,33.15,2009-03-17,NUE,NUCOR CORP,3441.0,443.0
67034610,35.51,32.71,2009-03-18,NUE,NUCOR CORP,3441.0,443.0
67034610,38.08,35.83,2009-03-19,NUE,NUCOR CORP,3441.0,443.0
67034610,37.47,38.69,2009-03-20,NUE,NUCOR CORP,3441.0,443.0
67034610,40.2,38.54,2009-03-23,NUE,NUCOR CORP,3441.0,443.0
67034610,40.36,39.46,2009-03-24,NUE,NUCOR CORP,3441.0,443.0
67034610,39.08,41.4,2009-03-25,NUE,NUCOR CORP,3441.0,443.0
67034610,41.09,39.78,2009-03-26,NUE,NUCOR CORP,3441.0,443.0
67034610,40.54,40.12,2009-03-27,NUE,NUCOR CORP,3441.0,443.0
67034610,38.09,39.12,2009-03-30,NUE,NUCOR CORP,3441.0,443.0
67034610,38.17,38.67,2009-03-31,NUE,NUCOR CORP,3441.0,443.0
67034610,40.02,37.46,2009-04-01,NUE,NUCOR CORP,3441.0,443.0
67034610,42.61,41.39,2009-04-02,NUE,NUCOR CORP,3441.0,443.0
67034610,43.7,42.34,2009-04-03,NUE,NUCOR CORP,3441.0,443.0
67034610,42.81,42.92,2009-04-06,NUE,NUCOR CORP,3441.0,443.0
67034610,40.6,41.6,2009-04-07,NUE,NUCOR CORP,3441.0,443.0
67034610,40.68,41.24,2009-04-08,NUE,NUCOR CORP,3441.0,443.0
