cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
70336F20,7.54,7.0001,2009-01-02,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.74,7.0,2009-01-05,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.74,6.933,2009-01-06,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.315,,2009-01-07,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.702,7.702,2009-01-08,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.205,,2009-01-09,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.0,6.91,2009-01-12,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.0,6.76,2009-01-13,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.58,7.57,2009-01-14,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.15,,2009-01-15,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.06,,2009-01-16,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.96,6.895,2009-01-20,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.5999,7.5999,2009-01-21,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.16,,2009-01-22,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.2155,6.8,2009-01-23,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.07,,2009-01-26,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.0,7.0,2009-01-27,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,7.0,7.0,2009-01-28,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-6.9,,2009-01-29,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.98,6.55,2009-01-30,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-7.13,,2009-02-02,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.84,6.9,2009-02-03,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-6.85,,2009-02-04,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.8,6.8,2009-02-05,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-6.85,,2009-02-06,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.8,6.8,2009-02-09,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.9,6.6,2009-02-10,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-6.8,,2009-02-11,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,6.5,6.7,2009-02-12,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,5.948,5.81,2009-02-13,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.85,4.56,2009-02-17,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.8,4.5,2009-02-18,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.5,4.5,2009-02-19,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,4.04,2009-02-20,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.1,4.0,2009-02-23,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,3.57,2009-02-24,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.9,4.02,2009-02-25,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,4.5,2009-02-26,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,4.72,2009-02-27,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.5,3.8,2009-03-02,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,4.45,2009-03-03,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.298,3.5,2009-03-04,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.8,3.9999,2009-03-05,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.975,3.5,2009-03-06,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-3.75,,2009-03-09,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.05,4.4,2009-03-10,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-3.775,,2009-03-11,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.6,3.66,2009-03-12,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.5,3.99,2009-03-13,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.8,4.0,2009-03-16,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.95,3.9425,2009-03-17,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.3,4.45,2009-03-18,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.76,4.463,2009-03-19,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.75,3.75,2009-03-20,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.5,3.75,2009-03-23,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.1645,3.5,2009-03-24,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.085,3.085,2009-03-25,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.06,2.71,2009-03-26,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-2.8,,2009-03-27,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.965,2.85,2009-03-30,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.98,3.0,2009-03-31,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.964,2.65,2009-04-01,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.665,2.95,2009-04-02,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.3,3.17,2009-04-03,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.9,2.04,2009-04-06,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.0,3.24,2009-04-07,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.99,2.99,2009-04-08,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.0,3.0,2009-04-09,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.1,2.85,2009-04-13,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,2.862,3.0,2009-04-14,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.0,3.0,2009-04-15,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.0,2.9944,2009-04-16,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.399,3.0,2009-04-17,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.18,3.45,2009-04-20,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.1,3.1,2009-04-21,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.26,3.94,2009-04-22,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.7,4.98,2009-04-23,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.398,4.55,2009-04-24,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-3.98,,2009-04-27,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.68,4.35,2009-04-28,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-3.725,,2009-04-29,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.94,3.99,2009-04-30,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.0,4.0,2009-05-01,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.05,3.99,2009-05-04,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.01,4.03,2009-05-05,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.89,3.89,2009-05-06,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,4.05,4.05,2009-05-07,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,3.73,3.974,2009-05-08,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
70336F20,-3.875,,2009-05-11,PNBK,PATRIOT NATIONAL BANCORP INC,6021.0,229.0
