cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
74158E10,47.87,55.97,2009-01-02,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.44,50.23,2009-01-05,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.56,49.99,2009-01-06,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,45.89,46.16,2009-01-07,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,45.26,46.16,2009-01-08,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.5,43.84,2009-01-09,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.88,45.81,2009-01-12,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.7,44.27,2009-01-13,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.0,45.0,2009-01-14,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.99,42.515,2009-01-15,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,39.73,42.77,2009-01-16,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.3,37.07,2009-01-20,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,37.86,39.7,2009-01-21,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.3,37.55,2009-01-22,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,33.13,36.66,2009-01-23,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,33.03,33.79,2009-01-26,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.25,32.49,2009-01-27,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.25,35.25,2009-01-28,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.99,33.01,2009-01-29,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.56,33.97,2009-01-30,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.61,33.0101,2009-02-02,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.0,34.8,2009-02-03,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.74,34.79,2009-02-04,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.0,36.0,2009-02-05,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.98,36.0,2009-02-06,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,34.55,34.55,2009-02-09,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,33.31,35.15,2009-02-10,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,-33.975,,2009-02-11,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.0,33.0,2009-02-12,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,33.64,33.25,2009-02-13,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,31.52,33.23,2009-02-17,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,31.08,31.08,2009-02-18,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.5,31.8,2009-02-19,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.6,31.24,2009-02-20,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.1,30.965,2009-02-23,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,33.74,34.18,2009-02-24,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,-32.44,,2009-02-25,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.41,32.82,2009-02-26,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.51,30.0,2009-02-27,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,26.42,26.42,2009-03-02,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,25.55,26.41,2009-03-03,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,28.54,28.99,2009-03-04,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,25.27,27.54,2009-03-05,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,24.46,25.06,2009-03-06,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,25.26,24.46,2009-03-09,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,28.55,24.47,2009-03-10,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,25.6,27.62,2009-03-11,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,29.0,26.05,2009-03-12,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,29.51,32.29,2009-03-13,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,30.0,30.0,2009-03-16,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.82,29.53,2009-03-17,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.51,33.36,2009-03-18,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,-32.475,,2009-03-19,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,32.58,33.57,2009-03-20,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.0,36.94,2009-03-23,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,48.37,48.88,2009-03-24,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.42,47.0,2009-03-25,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,48.0,46.6,2009-03-26,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.26,49.0,2009-03-27,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.05,48.85,2009-03-30,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,49.9,46.6,2009-03-31,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,50.0,53.22,2009-04-01,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,47.88,46.49,2009-04-02,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.52,49.5,2009-04-03,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.9,43.68,2009-04-06,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.44,44.26,2009-04-07,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.25,44.5,2009-04-08,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,45.49,45.11,2009-04-09,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.42,44.5,2009-04-13,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.5,44.9,2009-04-14,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.21,45.6,2009-04-15,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.9,44.4,2009-04-16,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.15,44.14,2009-04-17,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.47,44.28,2009-04-20,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,45.75,43.01,2009-04-21,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,44.76,44.01,2009-04-22,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.75,44.09,2009-04-23,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,44.26,45.01,2009-04-24,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.77,43.01,2009-04-27,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.64,42.64,2009-04-28,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,46.9,43.59,2009-04-29,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.49,46.54,2009-04-30,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,40.58,42.51,2009-05-01,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,41.09,39.37,2009-05-04,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,41.15,41.0,2009-05-05,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,41.36,41.1,2009-05-06,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.16,42.8,2009-05-07,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,43.09,42.3,2009-05-08,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,39.44,42.64,2009-05-11,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,37.73,39.12,2009-05-12,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,34.94,37.9,2009-05-13,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.01,35.1,2009-05-14,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,35.85,37.74,2009-05-15,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,37.69,37.1,2009-05-18,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,37.25,37.2,2009-05-19,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.62,36.94,2009-05-20,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,34.18,33.33,2009-05-21,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,38.36,36.17,2009-05-22,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.5,35.19,2009-05-26,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,-37.34,,2009-05-27,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.38,39.92,2009-05-28,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,37.99,37.59,2009-05-29,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,40.12,39.28,2009-06-01,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,41.25,40.07,2009-06-02,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,39.98,41.86,2009-06-03,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.2,43.02,2009-06-04,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,-41.515,,2009-06-05,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,40.42,41.88,2009-06-08,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,42.98,39.37,2009-06-09,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,39.81,43.0,2009-06-10,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,40.75,41.3,2009-06-11,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,39.85,40.0,2009-06-12,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
74158E10,36.8,39.27,2009-06-15,PNRG,PRIMEENERGY RESOURCES CORP,1311.0,289.0
