cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
73931J10,4.1,3.97,2009-01-02,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.12,4.12,2009-01-05,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.19,4.15,2009-01-06,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.15,4.07,2009-01-07,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.2,4.1,2009-01-08,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.19,4.09,2009-01-09,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.04,4.09,2009-01-12,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.19,4.0,2009-01-13,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.95,3.97,2009-01-14,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.94,3.86,2009-01-15,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.98,4.14,2009-01-16,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.02,4.1,2009-01-20,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.08,3.85,2009-01-21,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,4.01,3.95,2009-01-22,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.86,4.01,2009-01-23,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.88,3.85,2009-01-26,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.8,3.83,2009-01-27,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.84,3.8,2009-01-28,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.84,3.82,2009-01-29,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.83,3.82,2009-01-30,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.62,3.8,2009-02-02,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.73,3.62,2009-02-03,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.67,3.6763,2009-02-04,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.66,3.74,2009-02-05,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.49,3.82,2009-02-06,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.68,3.49,2009-02-09,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.53,3.82,2009-02-10,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.54,3.69,2009-02-11,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.61,3.67,2009-02-12,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.6,3.76,2009-02-13,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.5,3.54,2009-02-17,PWFL,POWERFLEET INC,7389.0,221.0
73931J10,3.43,3.52,2009-02-18,PWFL,POWERFLEET INC,7389.0,221.0
