cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
74727A10,10.6,10.67,2009-01-02,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.95,10.97,2009-01-05,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.96,10.51,2009-01-06,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,11.17,10.33,2009-01-07,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,11.93,11.93,2009-01-08,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.388,10.388,2009-01-09,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.75,10.75,2009-01-12,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,11.1,11.1,2009-01-13,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.31,10.65,2009-01-14,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.3,11.0,2009-01-15,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.5,10.5,2009-01-16,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.75,10.11,2009-01-20,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.74,9.73,2009-01-21,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.74,9.6,2009-01-22,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.7,9.75,2009-01-23,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.6,9.6,2009-01-26,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.725,9.5,2009-01-27,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.05,10.05,2009-01-28,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.01,10.02,2009-01-29,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,-9.78,,2009-01-30,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.3,10.02,2009-02-02,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,8.9,9.2,2009-02-03,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.45,9.45,2009-02-04,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,-9.405,,2009-02-05,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,-9.5,,2009-02-06,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.01,8.94,2009-02-09,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.48,9.5,2009-02-10,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,9.99,9.97,2009-02-11,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,-9.46,,2009-02-12,QCRH,Q C R HOLDINGS INC,6022.0,250.0
74727A10,10.0,10.0,2009-02-13,QCRH,Q C R HOLDINGS INC,6022.0,250.0
