cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
95843510,7.52,7.63,2009-01-02,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.7679,7.55,2009-01-05,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.04,7.72,2009-01-06,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.0,8.02,2009-01-07,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.05,7.95,2009-01-08,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.17,8.18,2009-01-09,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.15,8.15,2009-01-12,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.15,8.28,2009-01-13,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.12,8.1,2009-01-14,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.3,8.12,2009-01-15,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.28,8.35,2009-01-16,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.4,8.2,2009-01-20,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.2,8.3,2009-01-21,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.016,8.15,2009-01-22,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.14,7.95,2009-01-23,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.1,8.03,2009-01-26,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.194,8.16,2009-01-27,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.29,8.22,2009-01-28,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.11,8.28,2009-01-29,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.064,8.68,2009-01-30,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.1925,8.06,2009-02-02,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.12,8.12,2009-02-03,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.232,8.06,2009-02-04,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.34,8.27,2009-02-05,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.25,8.27,2009-02-06,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.25,8.27,2009-02-09,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.32,8.24,2009-02-10,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.25,8.24,2009-02-11,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.306,8.26,2009-02-12,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.13,8.33,2009-02-13,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.03,8.11,2009-02-17,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.82,7.9,2009-02-18,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.7,7.88,2009-02-19,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.62,7.67,2009-02-20,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.48,7.6,2009-02-23,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.7,7.53,2009-02-24,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.67,7.55,2009-02-25,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.82,7.81,2009-02-26,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.9892,7.79,2009-02-27,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.87,7.8,2009-03-02,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.69,8.24,2009-03-03,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.77,7.75,2009-03-04,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.0312,7.8,2009-03-05,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.6,7.79,2009-03-06,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.51,7.59,2009-03-09,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.54,7.5,2009-03-10,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.45,7.63,2009-03-11,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.54,7.46,2009-03-12,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.75,7.5,2009-03-13,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.7,7.89,2009-03-16,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.859,7.71,2009-03-17,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.89,7.85,2009-03-18,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.78,7.86,2009-03-19,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.88,7.69,2009-03-20,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.99,7.95,2009-03-23,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.8,7.8,2009-03-24,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.8199,7.84,2009-03-25,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.93,7.83,2009-03-26,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.91,8.03,2009-03-27,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.8698,7.96,2009-03-30,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.0899,7.69,2009-03-31,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.9501,8.01,2009-04-01,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.0,8.06,2009-04-02,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.028,7.96,2009-04-03,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.03,7.98,2009-04-06,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.05,8.02,2009-04-07,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.9599,8.01,2009-04-08,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.88,7.96,2009-04-09,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.9299,7.89,2009-04-13,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.95,7.82,2009-04-14,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.0,8.16,2009-04-15,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.11,8.04,2009-04-16,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.13,8.12,2009-04-17,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,7.92,8.1,2009-04-20,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.2,8.1,2009-04-21,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.1999,8.2,2009-04-22,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.19,8.01,2009-04-23,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.14,8.29,2009-04-24,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
95843510,8.18,8.11,2009-04-27,SBI,WESTERN ASSET INTERMED MUNI FD,6282.0,376.0
