cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
78464A80,67.28,65.53,2009-01-02,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,67.22,66.99,2009-01-05,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,67.97,67.78,2009-01-06,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,65.91,66.64,2009-01-07,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,66.15,65.67,2009-01-08,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,64.73,66.26,2009-01-09,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,63.16,63.91,2009-01-12,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,62.86,63.04,2009-01-13,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.31,62.03,2009-01-14,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.58,61.19,2009-01-15,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.97,62.52,2009-01-16,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,58.7516,61.51,2009-01-20,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.22,59.58,2009-01-21,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.04,60.0,2009-01-22,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.72,59.03,2009-01-23,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.01,60.82,2009-01-26,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.62,61.23,2009-01-27,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,63.49,62.57,2009-01-28,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.49,62.56,2009-01-29,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.0,61.72,2009-01-30,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,59.56,59.43,2009-02-02,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.06,60.38,2009-02-03,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.78,61.36,2009-02-04,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.63,60.45,2009-02-05,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,63.25,61.8,2009-02-06,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,63.45,63.37,2009-02-09,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.55,62.6,2009-02-10,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.83,60.87,2009-02-11,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.0,59.93,2009-02-12,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.47,60.91,2009-02-13,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,57.88,58.6,2009-02-17,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,57.8,58.037,2009-02-18,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,56.98,58.24,2009-02-19,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,56.35,55.93,2009-02-20,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,54.37,57.06,2009-02-23,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,56.59,54.69,2009-02-24,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,55.99,56.27,2009-02-25,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,55.07,56.62,2009-02-26,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,53.98,53.98,2009-02-27,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,51.4,52.92,2009-03-02,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,51.1,52.08,2009-03-03,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,52.28,51.88,2009-03-04,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,50.08,51.21,2009-03-05,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,50.14,50.56,2009-03-06,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,49.55,49.42,2009-03-09,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,52.55,50.59,2009-03-10,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,52.94,53.26,2009-03-11,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,55.1,52.94,2009-03-12,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,55.42,55.51,2009-03-13,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,55.13,56.15,2009-03-16,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,56.83,55.2,2009-03-17,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,58.07,56.76,2009-03-18,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,57.67,59.06,2009-03-19,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,56.0,57.29,2009-03-20,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,59.82,57.43,2009-03-23,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,58.71,59.1,2009-03-24,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,59.18,59.38,2009-03-25,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.73,59.89,2009-03-26,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,59.437,60.04,2009-03-27,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,57.43,58.34,2009-03-30,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,58.24,58.11,2009-03-31,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,59.04,57.35,2009-04-01,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,60.75,60.6,2009-04-02,SPTM,SPDR SERIES TRUST,6726.0,279.0
78464A80,61.64,60.92,2009-04-03,SPTM,SPDR SERIES TRUST,6726.0,279.0
