cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
M8737E10,,,2009-01-02,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-05,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-06,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-07,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-08,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-09,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-12,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-13,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-14,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-15,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-16,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-20,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-21,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-22,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-23,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-26,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-27,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-28,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-29,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-01-30,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-02,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-03,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-04,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-05,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-06,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-09,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-10,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-11,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-12,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-13,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-17,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-18,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-19,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-20,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-23,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-24,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-25,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-26,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-02-27,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-02,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-03,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-04,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-05,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-06,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-09,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-10,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-11,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-12,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-13,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-16,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-17,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-18,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-19,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-20,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-23,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-24,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-25,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
M8737E10,,,2009-03-26,TARO,TARO PHARM INDUSTRIES LTD,2834.0,184.0
