cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
88031M10,22.02,20.99,2009-01-02,TS,TENARIS S A,3312.0,85.0
88031M10,22.06,21.92,2009-01-05,TS,TENARIS S A,3312.0,85.0
88031M10,24.29,23.16,2009-01-06,TS,TENARIS S A,3312.0,85.0
88031M10,22.78,23.3,2009-01-07,TS,TENARIS S A,3312.0,85.0
88031M10,23.98,23.34,2009-01-08,TS,TENARIS S A,3312.0,85.0
88031M10,22.37,23.23,2009-01-09,TS,TENARIS S A,3312.0,85.0
88031M10,21.48,22.28,2009-01-12,TS,TENARIS S A,3312.0,85.0
88031M10,21.73,20.8,2009-01-13,TS,TENARIS S A,3312.0,85.0
88031M10,20.14,21.04,2009-01-14,TS,TENARIS S A,3312.0,85.0
88031M10,20.65,20.34,2009-01-15,TS,TENARIS S A,3312.0,85.0
88031M10,20.63,20.99,2009-01-16,TS,TENARIS S A,3312.0,85.0
88031M10,19.07,19.96,2009-01-20,TS,TENARIS S A,3312.0,85.0
88031M10,20.51,19.62,2009-01-21,TS,TENARIS S A,3312.0,85.0
88031M10,19.72,19.85,2009-01-22,TS,TENARIS S A,3312.0,85.0
88031M10,19.94,18.92,2009-01-23,TS,TENARIS S A,3312.0,85.0
88031M10,20.21,20.01,2009-01-26,TS,TENARIS S A,3312.0,85.0
88031M10,20.63,20.85,2009-01-27,TS,TENARIS S A,3312.0,85.0
88031M10,21.25,21.15,2009-01-28,TS,TENARIS S A,3312.0,85.0
88031M10,20.58,20.83,2009-01-29,TS,TENARIS S A,3312.0,85.0
88031M10,19.79,20.55,2009-01-30,TS,TENARIS S A,3312.0,85.0
88031M10,19.72,19.43,2009-02-02,TS,TENARIS S A,3312.0,85.0
88031M10,19.61,19.47,2009-02-03,TS,TENARIS S A,3312.0,85.0
88031M10,20.19,20.52,2009-02-04,TS,TENARIS S A,3312.0,85.0
88031M10,21.52,21.18,2009-02-05,TS,TENARIS S A,3312.0,85.0
88031M10,22.91,22.3,2009-02-06,TS,TENARIS S A,3312.0,85.0
88031M10,22.85,23.12,2009-02-09,TS,TENARIS S A,3312.0,85.0
88031M10,21.35,22.49,2009-02-10,TS,TENARIS S A,3312.0,85.0
88031M10,21.63,22.39,2009-02-11,TS,TENARIS S A,3312.0,85.0
88031M10,21.64,20.99,2009-02-12,TS,TENARIS S A,3312.0,85.0
88031M10,21.86,21.86,2009-02-13,TS,TENARIS S A,3312.0,85.0
88031M10,19.67,20.6,2009-02-17,TS,TENARIS S A,3312.0,85.0
88031M10,19.63,20.23,2009-02-18,TS,TENARIS S A,3312.0,85.0
88031M10,19.72,20.4,2009-02-19,TS,TENARIS S A,3312.0,85.0
88031M10,19.23,19.19,2009-02-20,TS,TENARIS S A,3312.0,85.0
88031M10,17.73,19.11,2009-02-23,TS,TENARIS S A,3312.0,85.0
88031M10,18.94,18.19,2009-02-24,TS,TENARIS S A,3312.0,85.0
88031M10,17.96,18.62,2009-02-25,TS,TENARIS S A,3312.0,85.0
88031M10,17.27,17.58,2009-02-26,TS,TENARIS S A,3312.0,85.0
88031M10,17.55,17.0,2009-02-27,TS,TENARIS S A,3312.0,85.0
88031M10,15.43,16.78,2009-03-02,TS,TENARIS S A,3312.0,85.0
88031M10,15.1,15.81,2009-03-03,TS,TENARIS S A,3312.0,85.0
88031M10,16.42,16.14,2009-03-04,TS,TENARIS S A,3312.0,85.0
88031M10,15.67,15.46,2009-03-05,TS,TENARIS S A,3312.0,85.0
88031M10,16.33,16.3,2009-03-06,TS,TENARIS S A,3312.0,85.0
88031M10,15.95,15.69,2009-03-09,TS,TENARIS S A,3312.0,85.0
88031M10,17.31,16.68,2009-03-10,TS,TENARIS S A,3312.0,85.0
88031M10,17.38,17.68,2009-03-11,TS,TENARIS S A,3312.0,85.0
88031M10,18.09,17.15,2009-03-12,TS,TENARIS S A,3312.0,85.0
88031M10,18.67,18.25,2009-03-13,TS,TENARIS S A,3312.0,85.0
88031M10,18.46,18.76,2009-03-16,TS,TENARIS S A,3312.0,85.0
88031M10,18.94,18.13,2009-03-17,TS,TENARIS S A,3312.0,85.0
88031M10,19.43,18.52,2009-03-18,TS,TENARIS S A,3312.0,85.0
88031M10,20.03,19.84,2009-03-19,TS,TENARIS S A,3312.0,85.0
88031M10,19.56,20.79,2009-03-20,TS,TENARIS S A,3312.0,85.0
88031M10,21.23,20.32,2009-03-23,TS,TENARIS S A,3312.0,85.0
88031M10,19.93,20.4,2009-03-24,TS,TENARIS S A,3312.0,85.0
88031M10,21.0,20.33,2009-03-25,TS,TENARIS S A,3312.0,85.0
88031M10,21.66,21.19,2009-03-26,TS,TENARIS S A,3312.0,85.0
88031M10,20.84,20.59,2009-03-27,TS,TENARIS S A,3312.0,85.0
88031M10,20.0,19.79,2009-03-30,TS,TENARIS S A,3312.0,85.0
88031M10,20.17,20.415,2009-03-31,TS,TENARIS S A,3312.0,85.0
88031M10,20.5,19.78,2009-04-01,TS,TENARIS S A,3312.0,85.0
88031M10,22.1,21.26,2009-04-02,TS,TENARIS S A,3312.0,85.0
88031M10,22.39,22.14,2009-04-03,TS,TENARIS S A,3312.0,85.0
88031M10,22.37,21.96,2009-04-06,TS,TENARIS S A,3312.0,85.0
88031M10,21.33,21.45,2009-04-07,TS,TENARIS S A,3312.0,85.0
88031M10,21.61,21.64,2009-04-08,TS,TENARIS S A,3312.0,85.0
88031M10,22.81,22.07,2009-04-09,TS,TENARIS S A,3312.0,85.0
88031M10,23.53,22.73,2009-04-13,TS,TENARIS S A,3312.0,85.0
88031M10,22.84,22.6,2009-04-14,TS,TENARIS S A,3312.0,85.0
88031M10,23.3,22.93,2009-04-15,TS,TENARIS S A,3312.0,85.0
88031M10,24.48,24.04,2009-04-16,TS,TENARIS S A,3312.0,85.0
88031M10,24.46,23.83,2009-04-17,TS,TENARIS S A,3312.0,85.0
88031M10,22.55,23.11,2009-04-20,TS,TENARIS S A,3312.0,85.0
88031M10,23.43,21.93,2009-04-21,TS,TENARIS S A,3312.0,85.0
88031M10,23.82,23.43,2009-04-22,TS,TENARIS S A,3312.0,85.0
88031M10,23.85,24.21,2009-04-23,TS,TENARIS S A,3312.0,85.0
88031M10,25.08,25.19,2009-04-24,TS,TENARIS S A,3312.0,85.0
88031M10,24.95,25.03,2009-04-27,TS,TENARIS S A,3312.0,85.0
88031M10,24.67,24.48,2009-04-28,TS,TENARIS S A,3312.0,85.0
88031M10,25.3,24.98,2009-04-29,TS,TENARIS S A,3312.0,85.0
88031M10,25.02,25.62,2009-04-30,TS,TENARIS S A,3312.0,85.0
88031M10,25.7,25.25,2009-05-01,TS,TENARIS S A,3312.0,85.0
88031M10,27.37,26.28,2009-05-04,TS,TENARIS S A,3312.0,85.0
88031M10,26.97,27.08,2009-05-05,TS,TENARIS S A,3312.0,85.0
88031M10,28.07,27.68,2009-05-06,TS,TENARIS S A,3312.0,85.0
88031M10,28.02,29.92,2009-05-07,TS,TENARIS S A,3312.0,85.0
88031M10,28.95,28.94,2009-05-08,TS,TENARIS S A,3312.0,85.0
88031M10,27.98,27.78,2009-05-11,TS,TENARIS S A,3312.0,85.0
88031M10,28.42,28.51,2009-05-12,TS,TENARIS S A,3312.0,85.0
88031M10,26.86,27.39,2009-05-13,TS,TENARIS S A,3312.0,85.0
88031M10,26.68,26.18,2009-05-14,TS,TENARIS S A,3312.0,85.0
88031M10,26.33,26.87,2009-05-15,TS,TENARIS S A,3312.0,85.0
88031M10,28.07,27.24,2009-05-18,TS,TENARIS S A,3312.0,85.0
88031M10,28.31,28.05,2009-05-19,TS,TENARIS S A,3312.0,85.0
88031M10,28.85,29.06,2009-05-20,TS,TENARIS S A,3312.0,85.0
88031M10,28.85,29.14,2009-05-21,TS,TENARIS S A,3312.0,85.0
88031M10,28.71,28.85,2009-05-22,TS,TENARIS S A,3312.0,85.0
88031M10,29.5,28.01,2009-05-26,TS,TENARIS S A,3312.0,85.0
88031M10,29.29,29.52,2009-05-27,TS,TENARIS S A,3312.0,85.0
88031M10,30.29,29.99,2009-05-28,TS,TENARIS S A,3312.0,85.0
88031M10,30.57,30.88,2009-05-29,TS,TENARIS S A,3312.0,85.0
88031M10,32.0,31.5,2009-06-01,TS,TENARIS S A,3312.0,85.0
88031M10,32.28,31.93,2009-06-02,TS,TENARIS S A,3312.0,85.0
88031M10,30.35,31.33,2009-06-03,TS,TENARIS S A,3312.0,85.0
88031M10,31.53,30.92,2009-06-04,TS,TENARIS S A,3312.0,85.0
