cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
89147L88,17.4,16.99,2009-01-02,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.29,17.6,2009-01-05,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.25,18.55,2009-01-06,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.89,19.24,2009-01-07,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.09,18.52,2009-01-08,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.2,18.92,2009-01-09,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,17.92,19.43,2009-01-12,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,17.88,17.7,2009-01-13,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.3,17.75,2009-01-14,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.2,18.46,2009-01-15,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.5,19.0,2009-01-16,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,17.41,18.58,2009-01-20,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,17.71,17.16,2009-01-21,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.99,18.2,2009-01-22,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.0,18.92,2009-01-23,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.2,19.94,2009-01-26,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.28,19.9,2009-01-27,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.3472,22.0,2009-01-28,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.5,22.45,2009-01-29,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.54,20.41,2009-01-30,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.03,20.43,2009-02-02,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.29,20.77,2009-02-03,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.04,22.27,2009-02-04,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.4,19.56,2009-02-05,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.82,21.99,2009-02-06,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.85,23.15,2009-02-09,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.83,22.99,2009-02-10,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.05,22.67,2009-02-11,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.26,22.08,2009-02-12,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,22.4,22.28,2009-02-13,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.45,22.0,2009-02-17,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.33,21.7,2009-02-18,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.8401,21.15,2009-02-19,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.3,19.25,2009-02-20,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.62,19.3,2009-02-23,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.4,18.68,2009-02-24,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.93,19.87,2009-02-25,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.03,19.86,2009-02-26,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.65,19.25,2009-02-27,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,17.91,20.3,2009-03-02,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.63,17.94,2009-03-03,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,21.64,19.4,2009-03-04,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.86,21.44,2009-03-05,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.25,18.38,2009-03-06,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,16.84,17.65,2009-03-09,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,18.5,17.0,2009-03-10,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.06,18.89,2009-03-11,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.72,18.9,2009-03-12,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.11,21.09,2009-03-13,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.5,20.49,2009-03-16,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,19.99,20.3,2009-03-17,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.39,20.19,2009-03-18,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.43,20.51,2009-03-19,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.0,20.65,2009-03-20,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.8,20.8,2009-03-23,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
89147L88,20.7,20.68,2009-03-24,TYG,TORTOISE ENERGY INFRASTRUCT CORP,6722.0,247.0
