cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
89543610,10.25,9.9,2009-01-02,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,10.44,10.26,2009-01-05,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,10.47,10.5,2009-01-06,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,10.17,10.29,2009-01-07,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,10.02,10.14,2009-01-08,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.81,9.92,2009-01-09,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.7,9.78,2009-01-12,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.72,9.62,2009-01-13,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.45,9.64,2009-01-14,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.1,9.45,2009-01-15,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.44,9.42,2009-01-16,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.91,9.32,2009-01-20,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.17,9.07,2009-01-21,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.1,9.09,2009-01-22,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.15,8.84,2009-01-23,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.16,9.23,2009-01-26,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.21,9.16,2009-01-27,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.55,9.35,2009-01-28,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.31,9.5,2009-01-29,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.26,9.48,2009-01-30,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.2,9.05,2009-02-02,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.21,9.2,2009-02-03,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.18,9.21,2009-02-04,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.28,9.05,2009-02-05,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.45,9.22,2009-02-06,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.43,9.39,2009-02-09,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.15,9.4,2009-02-10,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.1,9.15,2009-02-11,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.08,9.0,2009-02-12,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,9.18,9.09,2009-02-13,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.81,9.0,2009-02-17,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.7,8.85,2009-02-18,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.34,8.68,2009-02-19,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.26,8.16,2009-02-20,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.19,8.28,2009-02-23,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.55,8.26,2009-02-24,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.74,8.46,2009-02-25,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.66,8.76,2009-02-26,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,8.5,8.18,2009-02-27,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.9,8.3,2009-03-02,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.56,7.87,2009-03-03,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.83,7.58,2009-03-04,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.19,7.7,2009-03-05,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.09,7.2,2009-03-06,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.08,7.07,2009-03-09,TY,TRI CONTINENTAL CORP,6726.0,466.0
89543610,7.55,7.25,2009-03-10,TY,TRI CONTINENTAL CORP,6726.0,466.0
