cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
91307C10,64.11,61.49,2009-01-02,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.0,64.23,2009-01-05,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.94,65.51,2009-01-06,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.52,64.92,2009-01-07,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.47,64.72,2009-01-08,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.5,64.8,2009-01-09,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.38,63.76,2009-01-12,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.92,62.81,2009-01-13,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,60.9,62.38,2009-01-14,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.19,60.84,2009-01-15,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.74,63.29,2009-01-16,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.0,62.46,2009-01-20,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.24,62.35,2009-01-21,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.9,63.06,2009-01-22,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.71,63.37,2009-01-23,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.33,65.12,2009-01-26,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.31,65.56,2009-01-27,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.97,66.82,2009-01-28,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.83,67.39,2009-01-29,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.95,68.3,2009-01-30,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.65,66.91,2009-02-02,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,68.02,66.84,2009-02-03,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.5,68.32,2009-02-04,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,69.57,67.19,2009-02-05,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,70.6,69.83,2009-02-06,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,71.17,70.16,2009-02-09,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,69.94,71.17,2009-02-10,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,70.05,69.6,2009-02-11,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,71.61,69.27,2009-02-12,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,72.44,71.43,2009-02-13,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,72.73,72.0,2009-02-17,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,72.18,72.63,2009-02-18,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,70.35,72.43,2009-02-19,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,69.18,69.78,2009-02-20,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,71.0,69.18,2009-02-23,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,72.85,71.62,2009-02-24,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,73.28,72.3,2009-02-25,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,69.9,73.39,2009-02-26,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.11,69.27,2009-02-27,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.02,66.87,2009-03-02,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.81,64.43,2009-03-03,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.63,64.17,2009-03-04,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.81,64.63,2009-03-05,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.96,63.37,2009-03-06,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.42,63.0,2009-03-09,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.13,64.5,2009-03-10,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,59.19,63.64,2009-03-11,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.54,59.31,2009-03-12,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.28,62.64,2009-03-13,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,59.7,59.9,2009-03-16,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.6,59.12,2009-03-17,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.07,62.64,2009-03-18,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.58,63.32,2009-03-19,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,61.98,62.87,2009-03-20,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.72,62.67,2009-03-23,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.77,64.34,2009-03-24,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.42,64.84,2009-03-25,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.3,66.65,2009-03-26,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.9,66.51,2009-03-27,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.19,66.06,2009-03-30,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.09,66.87,2009-03-31,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.54,65.08,2009-04-01,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.96,66.73,2009-04-02,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.81,66.14,2009-04-03,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.06,64.79,2009-04-06,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,61.82,63.35,2009-04-07,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.22,62.29,2009-04-08,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.82,63.23,2009-04-09,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.41,62.92,2009-04-13,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.49,62.83,2009-04-14,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,60.53,61.93,2009-04-15,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,60.22,61.0,2009-04-16,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,60.17,60.43,2009-04-17,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,56.78,58.1,2009-04-20,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,55.71,56.7,2009-04-21,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,56.33,55.4,2009-04-22,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,56.65,56.4,2009-04-23,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,57.78,56.44,2009-04-24,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,58.78,57.19,2009-04-27,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,58.06,57.9,2009-04-28,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.07,59.47,2009-04-29,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,62.81,62.64,2009-04-30,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.35,62.72,2009-05-01,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,67.14,67.45,2009-05-04,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.45,67.08,2009-05-05,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.08,67.07,2009-05-06,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.48,64.66,2009-05-07,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.63,64.49,2009-05-08,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.55,64.16,2009-05-11,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,65.31,65.44,2009-05-12,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.18,64.29,2009-05-13,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.26,63.93,2009-05-14,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,63.6,63.72,2009-05-15,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.0,64.36,2009-05-18,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,64.51,64.0,2009-05-19,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.46,65.1,2009-05-20,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.36,65.79,2009-05-21,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,66.54,66.61,2009-05-22,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,74.43,72.5,2009-05-26,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,78.37,74.64,2009-05-27,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,79.93,78.21,2009-05-28,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,79.93,79.32,2009-05-29,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,80.02,79.95,2009-06-01,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,81.08,78.79,2009-06-02,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,82.82,80.44,2009-06-03,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,82.41,82.2,2009-06-04,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,83.24,83.14,2009-06-05,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
91307C10,82.46,81.95,2009-06-08,UTHR,UNITED THERAPEUTICS CORP,2830.0,229.0
